generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251105-225808,nan,nan,0.8471001757469244,0.19332161687170474,0.4982776801405975,0.4581722319859402,1_14,1_67,0.8611111111111112,0.2361111111111111,0.5104166666666666,0.7583333333333333,1_83,1_67,0.8450704225352113,0.16498993963782696,0.49639839034205224,0.4146881287726358,1_14,1_67,0.7747747898101807,0.2657657563686371,0.5009009006619454,0.7247747659683228,1_94,1_67
2,uci_cancer_test/2/20251105-225814,nan,nan,0.8681898066783831,0.3655536028119508,0.47458699472759236,0.6695957820738137,2_46,2_86,0.8888888888888888,0.2638888888888889,0.6516666666666667,0.8152777777777779,2_14,2_86,0.8651911468812877,0.3118712273641851,0.448933601609658,0.6484909456740442,2_46,2_86,0.7747747898101807,0.27927929162979126,0.6313063025474548,0.7427927851676941,2_71,1_67
3,uci_cancer_test/3/20251105-225820,nan,nan,0.8840070298769771,0.37258347978910367,0.6173813708260105,0.7915641476274166,1_39,3_27,0.9027777777777778,0.2638888888888889,0.7169444444444443,0.8375,3_12,3_27,0.8812877263581489,0.3199195171026157,0.6029577464788732,0.7849094567404427,1_39,3_27,0.7747747898101807,0.28378379344940186,0.6689639621973038,0.7594594776630401,3_12,1_67
4,uci_cancer_test/4/20251105-225826,nan,nan,0.8840070298769771,0.37082601054481545,0.7702108963093147,0.8543057996485061,4_47,3_97,0.9027777777777778,0.2638888888888889,0.7708333333333333,0.8680555555555556,4_12,3_97,0.8812877263581489,0.317907444668008,0.7701207243460765,0.8523138832997988,4_47,3_97,0.7837837934494019,0.2612612545490265,0.6923874005675316,0.7747747898101807,4_95,4_90
5,uci_cancer_test/5/20251105-225832,nan,nan,0.8910369068541301,0.37258347978910367,0.762407732864675,0.8532513181019332,5_11,5_32,0.9027777777777778,0.2638888888888889,0.7888888888888889,0.8694444444444445,5_13,4_15,0.8893360160965795,0.3199195171026157,0.7585714285714286,0.8509054325955734,5_11,5_32,0.7837837934494019,0.28378379344940186,0.7160810920596122,0.7774774909019471,5_13,4_90
6,uci_cancer_test/6/20251105-225837,nan,nan,0.8910369068541301,0.37258347978910367,0.7676098418277681,0.844639718804921,6_21,6_51,0.9027777777777778,0.2638888888888889,0.8244444444444444,0.8805555555555555,6_17,6_32,0.8893360160965795,0.3199195171026157,0.7593762575452716,0.8394366197183099,6_21,6_51,0.7882882952690125,0.28378379344940186,0.7472072172164917,0.7824324429035187,6_17,6_91
7,uci_cancer_test/7/20251105-225842,nan,nan,0.8910369068541301,0.37258347978910367,0.8025834797891038,0.8246045694200351,7_33,7_12,0.9027777777777778,0.2638888888888889,0.8145833333333333,0.8833333333333334,7_18,7_12,0.8893360160965795,0.3199195171026157,0.8008450704225349,0.8160965794768613,7_33,7_12,0.792792797088623,0.28378379344940186,0.7259009110927582,0.7851351439952851,7_18,7_13
8,uci_cancer_test/8/20251105-225848,nan,nan,0.8910369068541301,0.37258347978910367,0.8079789103690687,0.7717047451669596,8_11,8_62,0.9027777777777778,0.2638888888888889,0.8354166666666666,0.875,8_20,8_19,0.8893360160965795,0.3199195171026157,0.804004024144869,0.7567404426559357,8_11,8_62,0.792792797088623,0.28378379344940186,0.7434234315156937,0.7878378450870513,8_20,7_13
9,uci_cancer_test/9/20251105-225854,nan,nan,0.8910369068541301,0.37258347978910367,0.7524253075571178,0.7708260105448155,9_25,9_64,0.9027777777777778,0.2638888888888889,0.8231944444444443,0.875,9_16,9_43,0.8893360160965795,0.3199195171026157,0.7421730382293762,0.7557344064386318,9_25,9_64,0.792792797088623,0.28378379344940186,0.7401801860332489,0.7873873949050904,9_16,7_13
10,uci_cancer_test/10/20251105-225859,nan,nan,0.8646748681898067,0.37258347978910367,0.7194376098418276,0.7318101933216169,10_29,8_36,0.8888888888888888,0.2638888888888889,0.8369444444444446,0.8666666666666668,10_22,8_36,0.8651911468812877,0.3199195171026157,0.7024144869215292,0.7122736418511066,10_29,10_96,0.7972972989082336,0.28378379344940186,0.7571621659398079,0.7909909963607789,10_22,10_23
