generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251118-195113,nan,nan,0.6959578207381371,0.11775043936731107,0.5052548330404217,0.3724077328646748,1_84,1_16,0.7361111111111112,0.125,0.48013888888888895,0.736111111111111,1_84,1_1,0.7464788732394366,0.11670020120724346,0.5088531187122737,0.3197183098591549,1_84,1_16,0.7366666793823242,0.22333332896232605,0.4892999991774559,0.7366666793823242,1_84,1_1
2,uci_cancer_test/2/20251118-195118,nan,nan,0.7715289982425307,0.37082601054481545,0.40662565905096665,0.3724077328646748,1_50,2_81,0.7361111111111112,0.2638888888888889,0.6847222222222222,0.736111111111111,2_19,1_1,0.8088531187122736,0.317907444668008,0.36633802816901406,0.3197183098591549,1_50,2_81,0.7366666793823242,0.2633333206176758,0.6851666766405106,0.7366666793823242,2_19,1_1
3,uci_cancer_test/3/20251118-195124,nan,nan,0.6274165202108963,0.37082601054481545,0.40384885764499123,0.4182776801405975,2_28,3_25,0.7361111111111112,0.25,0.6981944444444445,0.736111111111111,3_64,1_1,0.6800804828973843,0.317907444668008,0.36120724346076466,0.3722334004024145,2_28,3_25,0.7366666793823242,0.2633333206176758,0.6989000108838082,0.7366666793823242,3_18,1_1
4,uci_cancer_test/4/20251118-195130,nan,nan,0.6274165202108963,0.37258347978910367,0.40347978910369064,0.38646748681898063,1_1,4_45,0.7361111111111112,0.2638888888888889,0.7052777777777777,0.736111111111111,4_19,1_1,0.6800804828973843,0.3199195171026157,0.35975855130784706,0.3358148893360161,1_1,4_45,0.7366666793823242,0.2633333206176758,0.7002000111341476,0.7366666793823242,4_40,1_1
5,uci_cancer_test/5/20251118-195136,nan,nan,0.6274165202108963,0.37258347978910367,0.3896485061511424,0.37258347978910367,1_1,5_12,0.7361111111111112,0.2638888888888889,0.7129166666666665,0.736111111111111,5_12,1_1,0.6800804828973843,0.3199195171026157,0.34281690140845067,0.3199195171026156,1_1,5_12,0.7366666793823242,0.2633333206176758,0.7133000114560127,0.7366666793823242,5_12,1_1
6,uci_cancer_test/6/20251118-195142,nan,nan,0.6274165202108963,0.37258347978910367,0.4082952548330405,0.37258347978910367,1_1,6_22,0.7361111111111112,0.2638888888888889,0.675138888888889,0.736111111111111,6_22,1_1,0.6800804828973843,0.3199195171026157,0.3696378269617707,0.3199195171026156,1_1,6_22,0.7366666793823242,0.2633333206176758,0.6766666767001152,0.7366666793823242,6_22,1_1
7,uci_cancer_test/7/20251118-195147,nan,nan,0.6274165202108963,0.37258347978910367,0.4022847100175747,0.41933216168717047,1_1,7_27,0.7361111111111112,0.2638888888888889,0.6983333333333335,0.736111111111111,7_23,1_1,0.6800804828973843,0.3199195171026157,0.35939637826961773,0.37344064386317904,1_1,7_27,0.7366666793823242,0.2633333206176758,0.6992666774988174,0.7366666793823242,7_27,1_1
8,uci_cancer_test/8/20251118-195153,nan,nan,0.6274165202108963,0.37258347978910367,0.428207381370826,0.41933216168717047,1_1,8_11,0.7361111111111112,0.2638888888888889,0.6888888888888889,0.736111111111111,8_11,1_1,0.6800804828973843,0.3199195171026157,0.3904426559356137,0.37344064386317904,1_1,8_11,0.7366666793823242,0.2633333206176758,0.6893333435058594,0.7366666793823242,8_11,1_1
9,uci_cancer_test/9/20251118-195159,nan,nan,0.6274165202108963,0.37258347978910367,0.4220913884007029,0.37258347978910367,1_1,9_29,0.7361111111111112,0.2638888888888889,0.7059722222222223,0.736111111111111,9_29,1_1,0.6800804828973843,0.3199195171026157,0.38096579476861164,0.3199195171026156,1_1,9_29,0.7366666793823242,0.2633333206176758,0.7023333442211152,0.7366666793823242,9_29,1_1
10,uci_cancer_test/10/20251118-195205,nan,nan,0.6520210896309314,0.37258347978910367,0.39637961335676636,0.4239015817223198,1_1,10_70,0.7361111111111112,0.2638888888888889,0.7172222222222223,0.736111111111111,10_37,1_1,0.6800804828973843,0.3199195171026157,0.34989939637826967,0.3786720321931589,1_1,10_37,0.7400000095367432,0.2633333206176758,0.7177666783332824,0.7370000123977661,10_37,10_70
11,uci_cancer_test/11/20251118-195210,nan,nan,0.6520210896309314,0.26362038664323373,0.43903339191564156,0.4588752196836555,11_32,10_70,0.75,0.16666666666666666,0.671388888888889,0.7375,11_32,11_72,0.6800804828973843,0.2776659959758551,0.4053722334004025,0.4185110663983903,11_32,11_23,0.7400000095367432,0.24666666984558105,0.6666000092029571,0.7376666784286499,11_32,10_70
12,uci_cancer_test/12/20251118-195217,nan,nan,0.6520210896309314,0.37258347978910367,0.4570826010544816,0.5193321616871704,11_22,10_70,0.75,0.2638888888888889,0.6945833333333334,0.7375,12_11,11_72,0.6800804828973843,0.3199195171026157,0.4226760563380282,0.4877263581488934,11_22,12_11,0.746666669845581,0.2633333206176758,0.6947333431243896,0.7390000104904175,12_11,12_23
13,uci_cancer_test/13/20251118-195223,nan,nan,0.7152899824253075,0.37258347978910367,0.5318804920913884,0.5558875219683657,11_14,13_76,0.75,0.2638888888888889,0.6991666666666666,0.7375,13_22,11_72,0.7122736418511066,0.3199195171026157,0.5076458752515091,0.5295774647887324,11_14,13_76,0.7733333110809326,0.2633333206176758,0.7010666745901107,0.7480000019073486,13_22,13_65
