generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251105-181900,nan,nan,0.6748681898066784,0.1282952548330404,0.49170474516695956,0.48049209138840066,1_37,1_83,0.6623376623376623,0.1645021645021645,0.49999999999999994,0.5554112554112554,1_37,1_92,0.7810650887573964,0.10355029585798817,0.48603550295857995,0.4292899408284024,1_37,1_83,0.746666669845581,0.23999999463558197,0.5026666541397572,0.5719999969005585,1_37,1_92
2,uci_cancer_test/2/20251105-181906,nan,nan,0.7311072056239016,0.35500878734622143,0.45815465729349725,0.535676625659051,2_42,2_84,0.7186147186147186,0.47186147186147187,0.5416017316017316,0.5744588744588744,2_96,2_84,0.7396449704142012,0.26627218934911245,0.40112426035502957,0.509171597633136,2_42,2_84,0.8133333325386047,0.47333332896232605,0.5595999905467033,0.6293333411216736,2_30,2_84
3,uci_cancer_test/3/20251105-181912,nan,nan,0.7434094903339191,0.35500878734622143,0.5496309314586995,0.677328646748682,2_42,3_61,0.7186147186147186,0.4805194805194805,0.5997402597402597,0.6774891774891774,1_81,2_84,0.7751479289940828,0.26627218934911245,0.5153846153846153,0.6772189349112427,2_42,3_61,0.8133333325386047,0.47333332896232605,0.6547999989986419,0.7713333308696747,3_26,2_84
4,uci_cancer_test/4/20251105-181918,nan,nan,0.7504393673110721,0.37258347978910367,0.6107381370826012,0.7033391915641477,4_12,4_23,0.7229437229437229,0.48917748917748916,0.6396536796536796,0.699134199134199,4_59,4_17,0.7781065088757396,0.27218934911242604,0.5909763313609466,0.7062130177514792,4_12,4_58,0.8133333325386047,0.5,0.7174666637182235,0.7886666595935822,4_78,2_84
5,uci_cancer_test/5/20251105-181925,nan,nan,0.7504393673110721,0.37258347978910367,0.6472231985940247,0.7263620386643235,5_11,4_23,0.7186147186147186,0.4805194805194805,0.6689177489177487,0.7186147186147186,5_29,2_84,0.7751479289940828,0.27218934911242604,0.632396449704142,0.7316568047337279,5_11,4_23,0.8133333325386047,0.47999998927116394,0.755199999511242,0.8133333325386047,5_29,2_84
6,uci_cancer_test/6/20251105-181931,nan,nan,0.7398945518453427,0.37258347978910367,0.6594727592267136,0.7291739894551846,6_29,6_22,0.7359307359307359,0.4805194805194805,0.677012987012987,0.7194805194805195,6_87,6_55,0.7544378698224852,0.27218934911242604,0.6474852071005919,0.7357988165680472,6_29,6_22,0.8199999928474426,0.47999998927116394,0.7626666656136513,0.8153333306312561,6_87,6_12
7,uci_cancer_test/7/20251105-181938,nan,nan,0.7398945518453427,0.37258347978910367,0.6601933216168717,0.7156414762741652,7_22,7_15,0.7359307359307359,0.4805194805194805,0.6707792207792207,0.7177489177489178,7_17,6_55,0.7544378698224852,0.27218934911242604,0.6529585798816568,0.7142011834319526,7_22,7_15,0.8199999928474426,0.47999998927116394,0.759933331310749,0.8193333268165588,7_17,6_12
8,uci_cancer_test/8/20251105-181945,nan,nan,0.773286467486819,0.37258347978910367,0.6461511423550087,0.710720562390158,8_30,8_13,0.7402597402597403,0.4805194805194805,0.6678354978354978,0.7173160173160174,8_67,8_13,0.7958579881656804,0.27218934911242604,0.6313313609467456,0.7062130177514794,8_30,8_13,0.8199999928474426,0.4266666769981384,0.7487999975681305,0.8199999928474426,8_12,6_12
9,uci_cancer_test/9/20251105-181952,nan,nan,0.7381370826010545,0.37258347978910367,0.6639718804920912,0.7130052724077328,9_27,6_55,0.7359307359307359,0.5194805194805194,0.6873160173160173,0.7168831168831169,9_27,6_55,0.7869822485207101,0.27218934911242604,0.64801775147929,0.7103550295857988,9_27,9_93,0.8199999928474426,0.5199999809265137,0.7759999996423721,0.8199999928474426,9_27,6_12
10,uci_cancer_test/10/20251105-181959,nan,nan,0.7381370826010545,0.37258347978910367,0.6648330404217927,0.7144112478031635,10_45,6_55,0.7359307359307359,0.4805194805194805,0.6851948051948051,0.7168831168831169,10_51,6_55,0.7455621301775148,0.27218934911242604,0.6509171597633135,0.7127218934911242,10_45,10_87,0.8199999928474426,0.47999998927116394,0.7782666638493538,0.8199999928474426,10_51,6_12
11,uci_cancer_test/11/20251105-182008,nan,nan,0.7486818980667839,0.37258347978910367,0.669701230228471,0.7057996485061512,11_49,11_81,0.7402597402597403,0.4805194805194805,0.6800865800865799,0.7138528138528139,11_16,11_81,0.7869822485207101,0.27218934911242604,0.6626035502958579,0.7002958579881657,11_49,11_87,0.846666693687439,0.47999998927116394,0.7713333302736283,0.8226666629314423,11_16,11_63
