generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251106-002049,nan,nan,0.5898876404494382,0.07865168539325842,0.3293258426966292,0.3455056179775281,1_67,1_18,0.618421052631579,0.09210526315789473,0.3325,0.5605263157894737,1_91,1_73,0.7058823529411765,0.049019607843137254,0.3267647058823529,0.18529411764705886,1_67,1_18,0.5973451137542725,0.09734513610601425,0.33340708032250405,0.5659292042255402,1_78,1_73
2,uci_wine_test/2/20251106-002051,nan,nan,0.601123595505618,0.07303370786516854,0.3461797752808988,0.43426966292134833,2_72,2_93,0.7105263157894737,0.05263157894736842,0.5027631578947368,0.6092105263157895,2_37,2_93,0.5196078431372549,0.0196078431372549,0.2295098039215686,0.30392156862745096,2_72,2_93,0.6814159154891968,0.03539822995662689,0.5052654829621315,0.6057522118091583,2_37,2_18
3,uci_wine_test/3/20251106-002053,nan,nan,0.7134831460674157,0.03932584269662921,0.3891011235955057,0.5471910112359549,3_82,3_13,0.75,0.05263157894736842,0.5326315789473685,0.6881578947368421,3_21,3_13,0.6862745098039216,0.00980392156862745,0.28215686274509805,0.4421568627450981,3_82,3_13,0.73893803358078,0.03539822995662689,0.5284513223171234,0.6553097248077393,3_21,3_13
4,uci_wine_test/4/20251106-002055,nan,nan,0.7134831460674157,0.03932584269662921,0.47247191011235956,0.5685393258426966,4_82,3_13,0.75,0.07894736842105263,0.5722368421052632,0.7,4_82,3_13,0.7843137254901961,0.00980392156862745,0.3981372549019607,0.4705882352941176,4_82,4_39,0.73893803358078,0.09292035549879074,0.5630530925840139,0.6827433586120606,4_82,3_13
5,uci_wine_test/5/20251106-002058,nan,nan,0.7134831460674157,0.2696629213483146,0.5635393258426966,0.6646067415730337,5_16,3_13,0.7894736842105263,0.15789473684210525,0.6282894736842105,0.7473684210526316,5_16,5_24,0.7843137254901961,0.16666666666666666,0.5152941176470588,0.6029411764705882,5_11,5_41,0.7876105904579163,0.1592920422554016,0.6113716760277748,0.7261061847209931,5_16,5_24
6,uci_wine_test/6/20251106-002100,nan,nan,0.7584269662921348,0.2696629213483146,0.6028651685393259,0.6775280898876405,6_52,6_79,0.8157894736842105,0.15789473684210525,0.6110526315789473,0.7513157894736843,6_52,6_79,0.8137254901960784,0.16666666666666666,0.5967647058823529,0.6225490196078431,6_40,6_56,0.7876105904579163,0.1592920422554016,0.5930088436603547,0.7499999880790711,6_52,5_24
7,uci_wine_test/7/20251106-002103,nan,nan,0.7584269662921348,0.3651685393258427,0.6253932584269662,0.6898876404494383,7_49,6_79,0.8157894736842105,0.2894736842105263,0.6835526315789475,0.7907894736842105,7_60,6_79,0.7941176470588235,0.21568627450980393,0.5820588235294117,0.6147058823529411,7_49,7_86,0.8008849620819092,0.28318583965301514,0.6764601695537568,0.7876106023788452,7_60,7_87
8,uci_wine_test/8/20251106-002105,nan,nan,0.7584269662921348,0.3595505617977528,0.6180898876404495,0.6573033707865168,8_54,7_39,0.8157894736842105,0.2894736842105263,0.705,0.7828947368421052,8_24,7_39,0.7941176470588235,0.20588235294117646,0.5533333333333332,0.5637254901960784,8_54,8_48,0.8008849620819092,0.28318583965301514,0.702787597477436,0.7955752074718475,8_24,7_87
9,uci_wine_test/9/20251106-002108,nan,nan,0.7303370786516854,0.28651685393258425,0.5969101123595506,0.6679775280898876,9_66,9_35,0.8026315789473685,0.18421052631578946,0.6867105263157895,0.7750000000000001,9_66,8_92,0.7745098039215687,0.18627450980392157,0.5299999999999998,0.5882352941176471,9_94,9_57,0.8141592741012573,0.28318583965301514,0.6938937950134277,0.8004424691200256,9_17,9_13
10,uci_wine_test/10/20251106-002110,nan,nan,0.7808988764044944,0.34831460674157305,0.6085955056179775,0.6674157303370786,10_11,10_23,0.8552631578947368,0.2894736842105263,0.6985526315789472,0.781578947368421,10_63,10_23,0.7843137254901961,0.19607843137254902,0.5415686274509802,0.5823529411764706,10_11,10_43,0.8141592741012573,0.28318583965301514,0.7161504358053208,0.8061946868896485,10_63,9_13
