generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251106-000422,nan,nan,0.5617977528089888,0.03932584269662921,0.3302247191011236,0.41685393258426967,1_34,1_64,0.6973684210526315,0.013157894736842105,0.34223684210526323,0.5552631578947368,1_20,1_95,0.4803921568627451,0.00980392156862745,0.31931372549019604,0.2970588235294117,1_34,1_1,0.6399999856948853,0.0533333346247673,0.3427999995648861,0.5866666615009308,1_20,1_77
2,uci_wine_test/2/20251106-000424,nan,nan,0.5617977528089888,0.2696629213483146,0.37617977528089885,0.5106741573033708,2_11,1_64,0.6973684210526315,0.15789473684210525,0.4906578947368421,0.5881578947368421,1_55,1_95,0.5882352941176471,0.13725490196078433,0.2892156862745098,0.4401960784313726,2_25,2_100,0.6800000071525574,0.1599999964237213,0.4905999980866909,0.6106666505336762,2_11,2_36
3,uci_wine_test/3/20251106-000426,nan,nan,0.5842696629213483,0.2696629213483146,0.43488764044943823,0.5117977528089888,3_59,3_37,0.6973684210526315,0.15789473684210525,0.5534210526315789,0.6684210526315789,1_55,2_36,0.5882352941176471,0.16666666666666666,0.34529411764705875,0.3950980392156863,3_12,3_92,0.7200000286102295,0.1599999964237213,0.5576666633784771,0.6706666707992553,3_59,3_51
4,uci_wine_test/4/20251106-000428,nan,nan,0.5955056179775281,0.2696629213483146,0.4547752808988764,0.5410112359550563,4_13,4_18,0.7105263157894737,0.15789473684210525,0.5865789473684211,0.6815789473684211,4_13,4_83,0.5882352941176471,0.16666666666666666,0.3565686274509804,0.43627450980392163,4_14,4_57,0.7200000286102295,0.1599999964237213,0.5846000018715859,0.6933333396911621,4_13,3_51
5,uci_wine_test/5/20251106-000430,nan,nan,0.5955056179775281,0.25842696629213485,0.45775280898876397,0.5230337078651686,5_73,4_83,0.7105263157894737,0.15789473684210525,0.5655263157894737,0.6671052631578946,5_14,4_83,0.5882352941176471,0.1568627450980392,0.3774509803921569,0.41568627450980394,5_39,5_15,0.7200000286102295,0.1599999964237213,0.5771333354711533,0.71266667842865,5_14,3_51
6,uci_wine_test/6/20251106-000432,nan,nan,0.601123595505618,0.25280898876404495,0.4766292134831462,0.5376404494382022,6_21,6_26,0.7105263157894737,0.15789473684210525,0.5877631578947369,0.6697368421052632,6_21,6_63,0.5882352941176471,0.16666666666666666,0.39382352941176463,0.43921568627450985,6_14,6_23,0.7733333110809326,0.1599999964237213,0.6201333409547806,0.7293333530426025,6_21,6_53
7,uci_wine_test/7/20251106-000435,nan,nan,0.6348314606741573,0.2696629213483146,0.4939887640449438,0.5550561797752809,7_53,7_90,0.6973684210526315,0.15789473684210525,0.5810526315789473,0.6710526315789472,7_53,7_93,0.6078431372549019,0.16666666666666666,0.42911764705882355,0.4686274509803921,7_96,7_90,0.7733333110809326,0.1599999964237213,0.6237333443760872,0.7446666717529297,7_53,6_53
8,uci_wine_test/8/20251106-000437,nan,nan,0.6348314606741573,0.2696629213483146,0.5082584269662921,0.5426966292134832,8_11,7_90,0.6842105263157895,0.15789473684210525,0.6182894736842105,0.6776315789473684,8_11,7_51,0.6078431372549019,0.24509803921568626,0.42627450980392145,0.4421568627450981,8_44,7_90,0.7866666913032532,0.1599999964237213,0.6736000016331672,0.7566666722297668,8_11,8_19
9,uci_wine_test/9/20251106-000439,nan,nan,0.5842696629213483,0.2696629213483146,0.5152808988764045,0.5601123595505618,9_49,9_27,0.6842105263157895,0.15789473684210525,0.5872368421052632,0.6776315789473684,9_49,7_51,0.5882352941176471,0.2549019607843137,0.46166666666666667,0.4725490196078431,9_56,9_23,0.800000011920929,0.1599999964237213,0.6653999991714954,0.7839999973773957,9_49,9_19
10,uci_wine_test/10/20251106-000441,nan,nan,0.5786516853932584,0.2696629213483146,0.5156179775280898,0.556741573033708,10_70,9_87,0.6842105263157895,0.15789473684210525,0.5775,0.6749999999999998,10_70,9_19,0.5882352941176471,0.2549019607843137,0.4695098039215685,0.46862745098039216,10_24,10_11,0.800000011920929,0.1599999964237213,0.655000002682209,0.7893333554267883,10_70,9_19
