generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_heart_test/1/20251119-195221,nan,nan,0.7298474945533769,0.0,0.33547930283224403,0.5588235294117647,1_3,1_91,0.7748447204968945,0.0,0.34116459627329193,0.5649068322981365,1_3,1_91,0.781021897810219,0.0,0.32182481751824815,0.5445255474452555,1_3,1_4,0.8501259684562683,0.0,0.34304785982938485,0.5987405598163604,1_3,1_91
2,uci_heart_test/2/20251119-195229,nan,nan,0.7440087145969498,0.02178649237472767,0.5225272331154684,0.6649237472766883,2_25,2_97,0.7795031055900621,0.018633540372670808,0.5399223602484472,0.6618012422360249,2_25,2_97,0.8029197080291971,0.029197080291970802,0.4816423357664234,0.6722627737226278,2_25,2_29,0.8513854146003723,0.017632242292165756,0.5602896777540445,0.7314861476421356,2_26,2_97
3,uci_heart_test/3/20251119-195235,nan,nan,0.7461873638344226,0.3877995642701525,0.6397603485838781,0.7272331154684096,3_49,3_62,0.7795031055900621,0.468944099378882,0.6585714285714286,0.7701863354037266,3_92,2_97,0.8029197080291971,0.18248175182481752,0.5955474452554745,0.6262773722627738,3_49,2_55,0.8513854146003723,0.48236775398254395,0.7151007640361786,0.8465995192527771,3_67,2_97
4,uci_heart_test/4/20251119-195244,nan,nan,0.7450980392156863,0.4466230936819172,0.6723093681917216,0.728322440087146,4_61,4_54,0.7795031055900621,0.4751552795031056,0.7200000000000002,0.7762422360248447,4_44,2_97,0.7372262773722628,0.26277372262773724,0.5602189781021898,0.6156934306569344,4_61,4_44,0.8513854146003723,0.48740553855895996,0.7805163913965225,0.8505038022994995,4_44,2_97
5,uci_heart_test/5/20251119-195252,nan,nan,0.7941176470588235,0.3333333333333333,0.6439651416122005,0.7345315904139433,5_99,5_56,0.7795031055900621,0.31521739130434784,0.6866149068322982,0.7763975155279503,5_24,2_97,0.8394160583941606,0.23722627737226276,0.5437226277372262,0.6361313868613139,5_99,5_56,0.8513854146003723,0.367758184671402,0.7407934671640396,0.8506297469139099,5_24,2_97
6,uci_heart_test/6/20251119-195259,nan,nan,0.7450980392156863,0.3344226579520697,0.6613616557734205,0.7351851851851852,6_16,6_91,0.7795031055900621,0.3059006211180124,0.7068944099378883,0.7773291925465838,6_16,2_97,0.7372262773722628,0.26277372262773724,0.5543430656934306,0.6361313868613139,6_19,6_34,0.8513854146003723,0.36020150780677795,0.7654408255219459,0.8508816361427307,6_16,2_97
7,uci_heart_test/7/20251119-195306,nan,nan,0.7440087145969498,0.15250544662309368,0.6567864923747275,0.7342047930283224,7_89,2_97,0.7795031055900621,0.18167701863354038,0.7043788819875778,0.7773291925465838,7_89,2_97,0.7372262773722628,0.08394160583941605,0.5449270072992701,0.6328467153284671,7_89,7_36,0.8513854146003723,0.25314861536026,0.762317399084568,0.8513854146003723,7_89,2_97
8,uci_heart_test/8/20251119-195313,nan,nan,0.7440087145969498,0.14052287581699346,0.6661873638344227,0.7342047930283224,8_72,2_97,0.7795031055900621,0.12577639751552794,0.7141770186335404,0.7773291925465838,8_72,2_97,0.7372262773722628,0.17518248175182483,0.5533941605839418,0.6328467153284671,8_72,8_16,0.8513854146003723,0.2871536612510681,0.7726322609186173,0.8513854146003723,8_72,2_97
9,uci_heart_test/9/20251119-195320,nan,nan,0.7440087145969498,0.3366013071895425,0.6631917211328975,0.7253812636165577,9_29,2_97,0.781055900621118,0.30745341614906835,0.7062888198757763,0.7779503105590061,9_29,9_65,0.7372262773722628,0.26277372262773724,0.5618978102189781,0.6018248175182481,9_15,9_22,0.8526448607444763,0.36146095395088196,0.7627456107735634,0.8516373038291931,9_29,9_65
10,uci_heart_test/10/20251119-195327,nan,nan,0.7440087145969498,0.10457516339869281,0.6612962962962964,0.7265795206971678,10_69,2_97,0.781055900621118,0.09937888198757763,0.7094099378881988,0.7781055900621118,10_69,9_65,0.7372262773722628,0.11678832116788321,0.5482116788321167,0.6054744525547445,10_69,10_13,0.8526448607444763,0.1586901694536209,0.7680604718625546,0.8517632484436035,10_69,9_65
