generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_kidney_test/1/20251130-053504,nan,nan,0.9832,0.0176,0.526068,0.8264800000000001,1_89,1_19,0.9801648634724369,0.020865533230293665,0.526468315301391,0.8407779495105616,1_89,1_19,0.9937388193202147,0.006261180679785331,0.5240697674418605,0.7707513416815741,1_89,1_19,0.9571974873542786,0.057627927511930466,0.5268173017725348,0.8467718720436096,1_89,1_19
2,uci_kidney_test/2/20251130-053542,nan,nan,0.9832,0.263,0.7078900000000001,0.9014200000000001,2_12,1_19,0.9801648634724369,0.19989696032972695,0.7255023183925812,0.9036579082946934,2_12,1_19,0.9937388193202147,0.4821109123434705,0.6461270125223614,0.887567084078712,2_12,1_19,0.9571974873542786,0.2142515480518341,0.7193089333176613,0.9025107502937317,2_13,1_19
3,uci_kidney_test/3/20251130-053628,nan,nan,0.9832,0.263,0.811986,0.96078,3_24,1_19,0.9801648634724369,0.19989696032972695,0.8073390005151984,0.9607934054611025,3_24,1_19,0.9937388193202147,0.4803220035778175,0.8275134168157423,0.9607334525939178,3_97,1_19,0.970588207244873,0.2142515480518341,0.8001841157674789,0.9496174097061157,3_24,3_32
4,uci_kidney_test/4/20251130-053706,nan,nan,0.9832,0.263,0.85602,0.9737199999999999,4_14,3_32,0.9801648634724369,0.19989696032972695,0.8485935085007728,0.9728748068006181,4_14,3_32,0.9937388193202147,0.4821109123434705,0.8818067978533094,0.9766547406082289,4_14,3_32,0.970588207244873,0.2142515480518341,0.8355930139124393,0.960186505317688,4_14,3_32
5,uci_kidney_test/5/20251130-053751,nan,nan,0.9832,0.263,0.9051140000000001,0.9817199999999999,5_86,3_32,0.9801648634724369,0.19989696032972695,0.9012905718701699,0.9789541473467285,5_86,3_32,0.9937388193202147,0.4803220035778175,0.9183899821109123,0.9913237924865832,5_97,3_32,0.970588207244873,0.2142515480518341,0.8866977420449257,0.9677666008472443,5_86,3_32
6,uci_kidney_test/6/20251130-053831,nan,nan,0.9832,0.263,0.9060019999999999,0.98214,6_11,3_32,0.9801648634724369,0.19989696032972695,0.8962648119526019,0.9792890262751159,6_11,3_32,0.9937388193202147,0.4821109123434705,0.9398121645796063,0.9920393559928442,6_11,3_32,0.9796748161315918,0.2142515480518341,0.8850095520913601,0.971496868133545,6_11,6_22
7,uci_kidney_test/7/20251130-053924,nan,nan,0.9832,0.263,0.932032,0.9786199999999999,7_20,3_32,0.9801648634724369,0.19989696032972695,0.9276609994848017,0.9763266357547655,7_20,3_32,0.9937388193202147,0.4821109123434705,0.9472093023255813,0.9865831842576028,7_20,3_32,0.9897178411483765,0.2142515480518341,0.9171281522512436,0.9756575763225556,7_20,7_36
8,uci_kidney_test/8/20251130-054008,nan,nan,0.9832,0.263,0.9050900000000002,0.97628,8_53,7_36,0.9801648634724369,0.19989696032972695,0.9000798557444615,0.9745749613601236,8_53,7_36,0.9937388193202147,0.4821109123434705,0.9224865831842576,0.9822003577817531,8_53,7_36,0.9921090602874756,0.2142515480518341,0.8957556149363518,0.9832377016544342,8_53,8_17
9,uci_kidney_test/9/20251130-054052,nan,nan,0.9838,0.263,0.915416,0.9822,9_14,9_16,0.9809376609994848,0.19989696032972695,0.9125270479134469,0.9793663060278208,9_14,9_16,0.9937388193202147,0.4821109123434705,0.9254472271914131,0.9920393559928442,9_14,8_17,0.9921090602874756,0.2142515480518341,0.912654235959053,0.9903873920440673,9_14,8_17
10,uci_kidney_test/10/20251130-054137,nan,nan,0.9832,0.263,0.909754,0.9831999999999999,10_47,8_17,0.9801648634724369,0.19989696032972695,0.9013163317877383,0.9801648634724369,10_47,8_17,0.9937388193202147,0.4821109123434705,0.9390518783542038,0.9937388193202146,10_47,8_17,0.9921090602874756,0.2142515480518341,0.9050526140630245,0.9921090602874756,10_47,8_17
