generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251029-212720,nan,nan,0.9138840070298769,0.2530755711775044,0.5102811950790861,0.682249560632689,1_100,1_14,0.9134199023246765,0.33766233921051025,0.5084848353266715,0.6194805145263672,1_50,1_14
2,uci_wine_test/2/20251029-212724,nan,nan,0.9138840070298769,0.2618629173989455,0.6420386643233743,0.7901581722319859,2_67,1_14,0.9134199023246765,0.3419913351535797,0.5935497745871544,0.754978346824646,2_67,1_14
3,uci_wine_test/3/20251029-212727,nan,nan,0.9138840070298769,0.37258347978910367,0.7301230228471002,0.8999999999999998,3_15,1_14,0.9134199023246765,0.4978354871273041,0.6951947939395905,0.8926406860351562,3_15,1_14
4,uci_wine_test/4/20251029-212731,nan,nan,0.9191564147627417,0.37258347978910367,0.8561159929701229,0.9138840070298769,4_18,4_75,0.9134199023246765,0.4978354871273041,0.8451082155108451,0.9134199023246765,4_18,1_14
5,uci_wine_test/5/20251029-212735,nan,nan,0.9156414762741653,0.37258347978910367,0.8367838312829524,0.9138840070298769,5_17,5_37,0.9134199023246765,0.4978354871273041,0.8280952259898186,0.9134199023246765,5_17,1_14
6,uci_wine_test/6/20251029-212739,nan,nan,0.9156414762741653,0.36906854130052724,0.830421792618629,0.9140597539543057,6_61,6_28,0.9134199023246765,0.4978354871273041,0.8211688202619553,0.9134199023246765,6_12,1_14
7,uci_wine_test/7/20251029-212743,nan,nan,0.9156414762741653,0.37258347978910367,0.8677680140597538,0.9138840070298769,7_17,6_28,0.9134199023246765,0.4978354871273041,0.8663636264204979,0.9134199023246765,7_17,1_14
8,uci_wine_test/8/20251029-212747,nan,nan,0.9156414762741653,0.37258347978910367,0.8267486818980667,0.9138840070298769,8_26,8_46,0.9134199023246765,0.4978354871273041,0.833246741592884,0.9134199023246765,8_26,1_14
9,uci_wine_test/9/20251029-212751,nan,nan,0.9156414762741653,0.37258347978910367,0.8437961335676625,0.9138840070298769,9_11,9_57,0.9134199023246765,0.4978354871273041,0.8429870015382767,0.9134199023246765,9_11,1_14
10,uci_wine_test/10/20251029-212755,nan,nan,0.9138840070298769,0.37258347978910367,0.8688400702987696,0.9138840070298769,10_23,1_14,0.9134199023246765,0.4978354871273041,0.8669263955950737,0.9134199023246765,10_23,1_14
11,uci_wine_test/11/20251029-212759,nan,nan,0.9156414762741653,0.37258347978910367,0.8578734622144111,0.9140597539543058,11_19,11_34,0.9134199023246765,0.4978354871273041,0.8648917639255523,0.9134199023246765,11_19,1_14
12,uci_wine_test/12/20251029-212803,nan,nan,0.9156414762741653,0.37258347978910367,0.8228998242530754,0.9138840070298769,12_14,11_34,0.9220778942108154,0.4978354871273041,0.8139826735854149,0.9142857015132904,12_14,12_53
13,uci_wine_test/13/20251029-212807,nan,nan,0.9138840070298769,0.37258347978910367,0.8607557117750438,0.9138840070298769,13_20,12_53,0.9220778942108154,0.4978354871273041,0.8522943592071534,0.9151515007019043,13_20,12_53
14,uci_wine_test/14/20251029-212811,nan,nan,0.9138840070298769,0.37258347978910367,0.8586291739894549,0.9138840070298769,14_40,12_53,0.9220778942108154,0.4978354871273041,0.8608657869696618,0.9151515007019043,14_40,12_53
15,uci_wine_test/15/20251029-212815,nan,nan,0.9156414762741653,0.37258347978910367,0.8227240773286465,0.913708260105448,15_25,15_68,0.9220778942108154,0.4978354871273041,0.8362337517738342,0.9207791984081268,15_25,12_53
16,uci_wine_test/16/20251029-212819,nan,nan,0.9138840070298769,0.3585237258347979,0.8240421792618627,0.9089630931458699,16_65,12_53,0.9220778942108154,0.4935064911842346,0.8477921858429909,0.9220778942108154,16_65,12_53
