generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251029-223601,nan,nan,0.8066783831282952,0.24428822495606328,0.49648506151142363,0.6790861159929701,1_58,1_9,0.7060367465019226,0.3779527544975281,0.49556430548429486,0.6270341157913208,1_58,1_40
2,uci_wine_test/2/20251029-223605,nan,nan,0.8330404217926186,0.34973637961335674,0.6462038664323374,0.7465729349736379,2_73,2_13,0.7716535329818726,0.3963254690170288,0.6051443520188332,0.663517051935196,2_43,2_13
3,uci_wine_test/3/20251029-223609,nan,nan,0.8330404217926186,0.37258347978910367,0.702231985940246,0.7625659050966608,3_56,2_13,0.7716535329818726,0.3963254690170288,0.6520734846591949,0.7223097085952759,3_56,2_13
4,uci_wine_test/4/20251029-223613,nan,nan,0.8330404217926186,0.37258347978910367,0.7261159929701229,0.8026362038664324,4_20,2_13,0.7716535329818726,0.3963254690170288,0.6843044573068618,0.7514435589313507,4_47,2_13
5,uci_wine_test/5/20251029-223617,nan,nan,0.8664323374340949,0.3181019332161687,0.6842706502636204,0.8337434094903339,5_38,5_19,0.808398962020874,0.3648293912410736,0.6485564255714417,0.776377946138382,5_38,5_100
6,uci_wine_test/6/20251029-223621,nan,nan,0.8541300527240774,0.37258347978910367,0.7527416520210896,0.8325131810193321,6_18,5_100,0.808398962020874,0.3963254690170288,0.7087139064073562,0.7860892415046692,6_18,5_100
7,uci_wine_test/7/20251029-223625,nan,nan,0.8541300527240774,0.37258347978910367,0.7128646748681899,0.8418277680140598,7_12,5_100,0.808398962020874,0.3963254690170288,0.6778477722406387,0.8005249381065369,7_12,5_100
8,uci_wine_test/8/20251029-223629,nan,nan,0.8541300527240774,0.37258347978910367,0.7825307557117752,0.8541300527240774,8_12,5_100,0.8110235929489136,0.3963254690170288,0.7279265087842941,0.808661425113678,8_12,8_87
9,uci_wine_test/9/20251029-223633,nan,nan,0.8681898066783831,0.37258347978910367,0.7799297012302284,0.8539543057996486,9_36,9_30,0.8398950099945068,0.3963254690170288,0.7150393718481064,0.8118110299110413,9_22,9_23
10,uci_wine_test/10/20251029-223637,nan,nan,0.8646748681898067,0.37258347978910367,0.7863620386643234,0.8537785588752197,10_21,10_13,0.8398950099945068,0.3963254690170288,0.734278216958046,0.8157480239868165,10_21,9_23
