id,identity,__b_score_vector,accuracy_to_baseline,is_elite,score
124_63,"{'ancestor_count': 123, 'ancestor_ids': ['123_21', '123_11'], 'birth_generation': 124, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '124_63', 'origin': '#MAR'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8146067415730337,True,0.9342105388641357
126_40,"{'ancestor_count': 125, 'ancestor_ids': ['125_54', '124_12'], 'birth_generation': 126, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '126_40', 'origin': '#MRC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8146067415730337,True,0.9342105388641357
162_43,"{'ancestor_count': 161, 'ancestor_ids': ['161_30', '161_18'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_43', 'origin': '161_18~C~161_30'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8258426966292135,False,0.9342105388641357
162_38,"{'ancestor_count': 161, 'ancestor_ids': ['161_31', '161_23'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_38', 'origin': '#MAC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8146067415730337,False,0.9342105388641357
162_37,"{'ancestor_count': 161, 'ancestor_ids': ['161_24', '161_21'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_37', 'origin': '161_21~C~161_24'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8258426966292135,False,0.9342105388641357
162_36,"{'ancestor_count': 161, 'ancestor_ids': ['161_28', '161_21'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_36', 'origin': '161_21~C~161_28'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8258426966292135,False,0.9342105388641357
162_35,"{'ancestor_count': 161, 'ancestor_ids': ['161_21', '161_21'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_35', 'origin': '#MMC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8258426966292135,False,0.9342105388641357
162_32,"{'ancestor_count': 161, 'ancestor_ids': ['161_25', '161_21'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_32', 'origin': '#MRC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8258426966292135,False,0.9342105388641357
162_31,"{'ancestor_count': 161, 'ancestor_ids': ['161_34', '161_25'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_31', 'origin': '#MAC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8146067415730337,False,0.9342105388641357
162_30,"{'ancestor_count': 161, 'ancestor_ids': ['161_11', '161_28'], 'birth_generation': 162, 'domain_name': 'uci_data', 'experiment_version': 'uci_wine_test', 'unique_id': '162_30', 'origin': '#MAC'}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.8146067415730337,False,0.9342105388641357
