generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251029-170546,nan,nan,0.6235955056179775,0.05056179775280899,0.3348314606741573,0.33988764044943814,1_67,1_61,0.5789473652839661,0.02631578966975212,0.3303947293013334,0.5671052515506745,1_32,1_50
2,uci_wine_test/2/20251029-170547,nan,nan,0.5842696629213483,0.06179775280898876,0.33780898876404497,0.3786516853932584,2_77,2_66,0.6973684430122375,0.1184210553765297,0.5072368324548006,0.5855263113975525,2_77,2_66
3,uci_wine_test/3/20251029-170549,nan,nan,0.6685393258426966,0.2696629213483146,0.3759550561797753,0.4691011235955056,3_22,3_12,0.7105262875556946,0.15789473056793213,0.5509210455417634,0.6263157844543457,3_22,3_12
4,uci_wine_test/4/20251029-170550,nan,nan,0.7134831460674157,0.33146067415730335,0.5076404494382023,0.6634831460674158,1_87,4_44,0.75,0.25,0.6264473691582679,0.7171052455902099,4_52,4_13
5,uci_wine_test/5/20251029-170551,nan,nan,0.7134831460674157,0.2696629213483146,0.6011797752808988,0.6668539325842696,5_85,4_44,0.75,0.15789473056793213,0.649868414402008,0.721052610874176,5_85,4_13
6,uci_wine_test/6/20251029-170553,nan,nan,0.7191011235955056,0.3707865168539326,0.606685393258427,0.702808988764045,6_58,6_53,0.75,0.25,0.6709210455417634,0.7434210479259491,6_28,4_13
7,uci_wine_test/7/20251029-170554,nan,nan,0.7247191011235955,0.23595505617977527,0.606629213483146,0.7157303370786516,7_81,7_27,0.7631579041481018,0.1315789520740509,0.6653947395086288,0.7526315808296203,7_81,7_27
8,uci_wine_test/8/20251029-170556,nan,nan,0.7415730337078652,0.2696629213483146,0.65,0.7117977528089887,8_65,8_89,0.7631579041481018,0.15789473056793213,0.6982894757390022,0.7526315808296203,8_65,7_27
9,uci_wine_test/9/20251029-170557,nan,nan,0.7808988764044944,0.38202247191011235,0.6432022471910114,0.7247191011235955,9_27,9_90,0.8289473652839661,0.2631579041481018,0.6831578969955444,0.7697368502616883,9_51,9_90
10,uci_wine_test/10/20251029-170558,nan,nan,0.7808988764044944,0.2696629213483146,0.6623033707865169,0.753370786516854,10_73,9_90,0.8289473652839661,0.15789473056793213,0.7035526368021965,0.8092105329036713,10_73,9_90
11,uci_wine_test/11/20251029-170600,nan,nan,0.7808988764044944,0.38202247191011235,0.6986516853932584,0.7758426966292136,11_66,9_90,0.8289473652839661,0.2631579041481018,0.7522368490695953,0.8276315748691558,11_56,9_90
12,uci_wine_test/12/20251029-170601,nan,nan,0.7921348314606742,0.2696629213483146,0.6738202247191011,0.7764044943820225,12_66,12_46,0.8421052694320679,0.15789473056793213,0.723815790116787,0.8302631556987763,12_66,12_43
13,uci_wine_test/13/20251029-170603,nan,nan,0.7921348314606742,0.38202247191011235,0.7061797752808989,0.7696629213483146,13_13,12_46,0.8421052694320679,0.32894736528396606,0.7603947359323502,0.8315789461135864,13_16,12_43
14,uci_wine_test/14/20251029-170604,nan,nan,0.7808988764044944,0.38202247191011235,0.6920224719101123,0.7696629213483146,14_22,12_35,0.8421052694320679,0.31578946113586426,0.7468421059846878,0.8315789461135864,14_29,12_43
15,uci_wine_test/15/20251029-170606,nan,nan,0.7808988764044944,0.33146067415730335,0.6626404494382022,0.7404494382022471,15_74,14_34,0.8684210777282715,0.34210526943206787,0.736710529923439,0.8447368502616882,15_25,15_69
16,uci_wine_test/16/20251029-170607,nan,nan,0.7808988764044944,0.33146067415730335,0.6432584269662922,0.7573033707865169,16_38,15_20,0.8815789222717285,0.34210526943206787,0.7430263209342957,0.8657894849777221,16_25,16_17
17,uci_wine_test/17/20251029-170609,nan,nan,0.8146067415730337,0.3707865168539326,0.6569662921348314,0.7752808988764045,17_70,17_55,0.8947368264198303,0.34210526943206787,0.7709210634231567,0.8776315689086914,17_18,17_55
18,uci_wine_test/18/20251029-170610,nan,nan,0.8258426966292135,0.2696629213483146,0.6839325842696629,0.798876404494382,18_52,18_92,0.8947368264198303,0.15789473056793213,0.7830263149738311,0.8894736647605896,18_52,17_55
19,uci_wine_test/19/20251029-170612,nan,nan,0.8258426966292135,0.2696629213483146,0.7033707865168537,0.8185393258426966,19_61,19_29,0.8947368264198303,0.15789473056793213,0.7939473605155944,0.8947368264198303,19_61,17_55
20,uci_wine_test/20/20251029-170613,nan,nan,0.8258426966292135,0.37640449438202245,0.7499999999999999,0.8112359550561798,20_59,19_71,0.8947368264198303,0.34210526943206787,0.8263157796859741,0.8947368264198303,20_59,17_55
21,uci_wine_test/21/20251029-170615,nan,nan,0.8258426966292135,0.3707865168539326,0.7214606741573032,0.8140449438202249,21_23,21_96,0.8947368264198303,0.34210526943206787,0.8059210470318794,0.8947368264198303,21_11,17_55
22,uci_wine_test/22/20251029-170616,nan,nan,0.8202247191011236,0.2696629213483146,0.708314606741573,0.8140449438202249,22_11,22_30,0.8947368264198303,0.15789473056793213,0.7743420985341072,0.8947368264198303,22_11,17_55
23,uci_wine_test/23/20251029-170618,nan,nan,0.8258426966292135,0.2696629213483146,0.7279775280898875,0.8151685393258425,23_50,23_51,0.8947368264198303,0.15789473056793213,0.8151315721869469,0.8947368264198303,23_50,17_55
24,uci_wine_test/24/20251029-170619,nan,nan,0.8202247191011236,0.2696629213483146,0.7228651685393258,0.8151685393258428,24_92,23_40,0.8947368264198303,0.15789473056793213,0.8053947287797928,0.8947368264198303,24_92,17_55
25,uci_wine_test/25/20251029-170621,nan,nan,0.8202247191011236,0.2696629213483146,0.7193820224719102,0.8129213483146067,25_30,24_36,0.8947368264198303,0.15789473056793213,0.8151315739750862,0.8947368264198303,25_30,17_55
26,uci_wine_test/26/20251029-170622,nan,nan,0.8202247191011236,0.33146067415730335,0.7267977528089888,0.8134831460674157,26_80,26_47,0.8947368264198303,0.34210526943206787,0.824078940153122,0.8947368264198303,26_15,17_55
27,uci_wine_test/27/20251029-170624,nan,nan,0.8146067415730337,0.37640449438202245,0.7437078651685393,0.8140449438202246,27_58,17_55,0.8947368264198303,0.34210526943206787,0.818026308119297,0.8947368264198303,27_58,17_55
28,uci_wine_test/28/20251029-170626,nan,nan,0.8146067415730337,0.33146067415730335,0.7486516853932583,0.8140449438202246,28_48,17_55,0.8947368264198303,0.34210526943206787,0.8331578850746155,0.8947368264198303,28_84,17_55
29,uci_wine_test/29/20251029-170627,nan,nan,0.8146067415730337,0.2696629213483146,0.7375280898876402,0.8129213483146067,29_32,17_55,0.8947368264198303,0.15789473056793213,0.8121052539348602,0.8947368264198303,29_32,17_55
30,uci_wine_test/30/20251029-170629,nan,nan,0.8146067415730337,0.2696629213483146,0.7442696629213482,0.8146067415730338,30_28,17_55,0.8947368264198303,0.15789473056793213,0.8215789377689362,0.8947368264198303,30_28,17_55
31,uci_wine_test/31/20251029-170631,nan,nan,0.8146067415730337,0.2696629213483146,0.7287078651685394,0.8117977528089888,31_28,17_55,0.8947368264198303,0.15789473056793213,0.8172368347644806,0.8947368264198303,31_28,17_55
32,uci_wine_test/32/20251029-170633,nan,nan,0.8146067415730337,0.3258426966292135,0.7549999999999997,0.8140449438202246,32_85,17_55,0.8947368264198303,0.31578946113586426,0.8351315677165985,0.8947368264198303,32_85,17_55
33,uci_wine_test/33/20251029-170634,nan,nan,0.8146067415730337,0.3258426966292135,0.7317977528089886,0.8146067415730338,33_98,17_55,0.8947368264198303,0.2763157784938812,0.8048684117197991,0.8947368264198303,33_82,17_55
