generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251029-184053,nan,nan,0.6292134831460674,0.06741573033707865,0.33258426966292126,0.46516853932584273,1_32,1_10,0.5353982448577881,0.08849557489156723,0.3305309734493494,0.4783185809850693,1_87,1_10
2,uci_wine_test/2/20251029-184055,nan,nan,0.6292134831460674,0.20224719101123595,0.42101123595505613,0.5353932584269663,2_27,1_10,0.6460176706314087,0.2300885021686554,0.43159291505813596,0.5442477762699127,2_12,2_56
3,uci_wine_test/3/20251029-184056,nan,nan,0.6292134831460674,0.12921348314606743,0.44741573033707865,0.5191011235955056,3_56,2_85,0.6637167930603027,0.2300885021686554,0.4743362757563591,0.5628318548202514,3_50,3_24
4,uci_wine_test/4/20251029-184058,nan,nan,0.6292134831460674,0.12921348314606743,0.46443820224719107,0.5050561797752808,4_45,3_68,0.6637167930603027,0.21681416034698486,0.5487168094515801,0.6424778759479522,4_75,3_24
5,uci_wine_test/5/20251029-184100,nan,nan,0.5898876404494382,0.1404494382022472,0.43522471910112365,0.4674157303370786,5_58,4_18,0.6902654767036438,0.2566371560096741,0.5981415846943855,0.6663716614246369,5_58,5_28
6,uci_wine_test/6/20251029-184102,nan,nan,0.5842696629213483,0.1404494382022472,0.4294943820224719,0.49213483146067405,6_66,6_13,0.6902654767036438,0.2300885021686554,0.5867256528139114,0.6694690108299255,6_15,5_28
7,uci_wine_test/7/20251029-184104,nan,nan,0.5842696629213483,0.1404494382022472,0.4441573033707865,0.49213483146067416,7_98,6_13,0.6902654767036438,0.2566371560096741,0.6019468924403191,0.6694690108299255,7_98,5_28
8,uci_wine_test/8/20251029-184106,nan,nan,0.6123595505617978,0.20224719101123595,0.4577528089887641,0.5157303370786517,8_97,8_28,0.6902654767036438,0.2610619366168976,0.6074778652191162,0.6743362724781037,8_40,5_28
9,uci_wine_test/9/20251029-184108,nan,nan,0.5898876404494382,0.33146067415730335,0.4898314606741574,0.5730337078651686,9_14,9_17,0.6902654767036438,0.3539822995662689,0.610929197371006,0.6902654767036438,9_85,5_28
10,uci_wine_test/10/20251029-184109,nan,nan,0.5955056179775281,0.1404494382022472,0.5025842696629215,0.5730337078651686,10_65,10_90,0.6902654767036438,0.2566371560096741,0.6107964524626732,0.6902654767036438,10_65,5_28
11,uci_wine_test/11/20251029-184111,nan,nan,0.5955056179775281,0.2696629213483146,0.5226966292134833,0.5719101123595506,11_53,11_73,0.6946902871131897,0.2300885021686554,0.6274778687953949,0.6907079577445984,11_53,11_94
12,uci_wine_test/12/20251029-184113,nan,nan,0.5898876404494382,0.14606741573033707,0.5248876404494383,0.5685393258426966,12_18,12_64,0.6991150379180908,0.25221237540245056,0.6394247725605965,0.6933628380298614,12_18,12_67
13,uci_wine_test/13/20251029-184115,nan,nan,0.5955056179775281,0.1404494382022472,0.4988764044943821,0.5646067415730338,13_36,13_84,0.6991150379180908,0.2566371560096741,0.6068584042787551,0.6951327502727509,13_36,12_67
14,uci_wine_test/14/20251029-184117,nan,nan,0.5898876404494382,0.12921348314606743,0.5083707865168541,0.5634831460674158,14_38,14_12,0.6991150379180908,0.2610619366168976,0.6230088528990746,0.6964601874351501,14_38,12_67
15,uci_wine_test/15/20251029-184119,nan,nan,0.5842696629213483,0.24719101123595505,0.4971348314606743,0.5646067415730338,15_30,15_21,0.6991150379180908,0.29203540086746216,0.6228318563103676,0.6991150379180908,15_30,12_67
16,uci_wine_test/16/20251029-184121,nan,nan,0.5786516853932584,0.12921348314606743,0.5093820224719102,0.5646067415730338,16_20,16_34,0.6991150379180908,0.2566371560096741,0.6318141543865203,0.6991150379180908,16_59,12_67
17,uci_wine_test/17/20251029-184123,nan,nan,0.5786516853932584,0.24719101123595505,0.5108988764044945,0.5646067415730338,17_69,17_23,0.7079645991325378,0.29203540086746216,0.6340707904100418,0.6999999940395355,17_69,17_80
18,uci_wine_test/18/20251029-184125,nan,nan,0.5842696629213483,0.12921348314606743,0.4829775280898877,0.5646067415730338,18_18,18_35,0.7079645991325378,0.2300885021686554,0.6065929134190082,0.7053097307682037,18_81,17_80
19,uci_wine_test/19/20251029-184127,nan,nan,0.5786516853932584,0.24719101123595505,0.5126966292134831,0.5674157303370786,19_52,19_15,0.7079645991325378,0.2300885021686554,0.6281415876746178,0.7079645991325378,19_95,17_80
20,uci_wine_test/20/20251029-184129,nan,nan,0.5730337078651685,0.24719101123595505,0.5118539325842698,0.5674157303370786,20_12,20_14,0.7079645991325378,0.3008849620819092,0.6323893740773201,0.7079645991325378,20_12,17_80
21,uci_wine_test/21/20251029-184131,nan,nan,0.5955056179775281,0.24719101123595505,0.5234269662921349,0.5674157303370786,21_52,21_16,0.7079645991325378,0.3008849620819092,0.645309729874134,0.7079645991325378,21_52,17_80
22,uci_wine_test/22/20251029-184133,nan,nan,0.5786516853932584,0.12921348314606743,0.5094382022471909,0.5662921348314607,22_73,22_12,0.7123894095420837,0.2300885021686554,0.6293362790346145,0.7084070801734924,22_43,22_99
23,uci_wine_test/23/20251029-184135,nan,nan,0.5955056179775281,0.25280898876404495,0.5021910112359552,0.5651685393258428,23_45,23_88,0.7123894095420837,0.20796459913253784,0.6256194654107093,0.708849561214447,23_45,22_99
24,uci_wine_test/24/20251029-184137,nan,nan,0.5786516853932584,0.2696629213483146,0.5010112359550563,0.5651685393258428,24_40,24_36,0.7123894095420837,0.2300885021686554,0.6280973434448243,0.708849561214447,24_40,22_99
25,uci_wine_test/25/20251029-184139,nan,nan,0.5955056179775281,0.24719101123595505,0.5206179775280898,0.5651685393258428,25_43,25_16,0.7123894095420837,0.3008849620819092,0.6448672556877136,0.708849561214447,25_43,22_99
26,uci_wine_test/26/20251029-184142,nan,nan,0.5955056179775281,0.24719101123595505,0.5069662921348315,0.5629213483146069,26_64,26_16,0.7123894095420837,0.2300885021686554,0.6325663688778878,0.7097345232963562,26_83,22_99
27,uci_wine_test/27/20251029-184144,nan,nan,0.5842696629213483,0.12921348314606743,0.5091011235955056,0.5584269662921348,27_17,27_18,0.7123894095420837,0.2300885021686554,0.6380088523030281,0.7115044474601746,27_69,22_99
28,uci_wine_test/28/20251029-184146,nan,nan,0.5730337078651685,0.24157303370786518,0.506067415730337,0.556179775280899,28_30,28_31,0.7123894095420837,0.3053097426891327,0.6479203712940216,0.7123894095420837,28_30,22_99
29,uci_wine_test/29/20251029-184148,nan,nan,0.5674157303370787,0.24157303370786518,0.5052808988764046,0.556179775280899,29_83,29_19,0.7123894095420837,0.3053097426891327,0.6483185997605324,0.7123894095420837,29_83,22_99
30,uci_wine_test/30/20251029-184150,nan,nan,0.5955056179775281,0.24157303370786518,0.5195505617977528,0.556179775280899,30_58,30_16,0.7123894095420837,0.3053097426891327,0.6590265691280365,0.7123894095420837,30_58,22_99
31,uci_wine_test/31/20251029-184153,nan,nan,0.5674157303370787,0.12921348314606743,0.5258988764044943,0.556179775280899,31_24,31_72,0.7123894095420837,0.2699114978313446,0.6640265697240829,0.7123894095420837,31_24,22_99
