generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251022-223809,nan,nan,0.6179775280898876,0.02247191011235955,0.3335393258426966,0.46853932584269664,1_50,1_68,0.6047618985176086,0.02857142873108387,0.33471429025754335,0.4909523844718933,1_50,1_68
2,uci_wine_test/2/20251022-223810,nan,nan,0.6235955056179775,0.2696629213483146,0.424438202247191,0.5398876404494383,2_11,2_20,0.6428571343421936,0.24761904776096344,0.44257143169641494,0.5433333396911622,2_11,2_20
3,uci_wine_test/3/20251022-223812,nan,nan,0.7191011235955056,0.2696629213483146,0.4858988764044943,0.604494382022472,3_55,3_81,0.7142857313156128,0.24761904776096344,0.49647619649767877,0.6066666781902313,3_55,3_81
4,uci_wine_test/4/20251022-223814,nan,nan,0.7191011235955056,0.2696629213483146,0.550056179775281,0.657865168539326,4_55,3_81,0.7142857313156128,0.24761904776096344,0.5563809588551522,0.661428588628769,4_55,3_81
5,uci_wine_test/5/20251022-223815,nan,nan,0.7191011235955056,0.2696629213483146,0.5683707865168539,0.647191011235955,5_73,3_81,0.7142857313156128,0.24761904776096344,0.5774285790324211,0.6600000023841858,5_73,3_81
6,uci_wine_test/6/20251022-223817,nan,nan,0.7191011235955056,0.2696629213483146,0.5833146067415731,0.6803370786516854,6_16,3_81,0.7142857313156128,0.24761904776096344,0.5908095334470272,0.6847619235515594,6_16,3_81
7,uci_wine_test/7/20251022-223818,nan,nan,0.8146067415730337,0.37640449438202245,0.6235393258426966,0.7095505617977528,7_20,7_82,0.7952380776405334,0.3523809611797333,0.6281904882192612,0.7085714399814605,7_20,7_82
8,uci_wine_test/8/20251022-223820,nan,nan,0.8146067415730337,0.2696629213483146,0.6510674157303371,0.7578651685393257,8_30,7_82,0.800000011920929,0.24761904776096344,0.6525714386999607,0.7504761993885041,8_30,8_14
9,uci_wine_test/9/20251022-223822,nan,nan,0.8146067415730337,0.2696629213483146,0.6688202247191012,0.7960674157303371,9_15,8_14,0.800000011920929,0.24761904776096344,0.6665714353322982,0.7828571319580078,9_15,8_14
10,uci_wine_test/10/20251022-223823,nan,nan,0.8370786516853933,0.2696629213483146,0.708820224719101,0.8174157303370786,10_96,10_37,0.8285714387893677,0.24761904776096344,0.7060476197302341,0.8047618985176086,10_96,10_37
11,uci_wine_test/11/20251022-223825,nan,nan,0.8370786516853933,0.2696629213483146,0.7080337078651685,0.8185393258426966,11_29,10_37,0.8285714387893677,0.24761904776096344,0.7049523863196373,0.807619059085846,11_29,10_37
12,uci_wine_test/12/20251022-223827,nan,nan,0.8426966292134831,0.2696629213483146,0.7384269662921348,0.8342696629213483,12_66,12_46,0.8333333134651184,0.24761904776096344,0.7336190524697304,0.8266666650772094,12_66,12_34
13,uci_wine_test/13/20251022-223828,nan,nan,0.8595505617977528,0.2696629213483146,0.7585393258426967,0.8415730337078653,13_94,13_87,0.8476190567016602,0.24761904776096344,0.7579047639667987,0.8328571438789367,13_94,13_87
14,uci_wine_test/14/20251022-223830,nan,nan,0.8595505617977528,0.2696629213483146,0.7341011235955054,0.8539325842696629,14_66,13_87,0.8523809313774109,0.24761904776096344,0.7317142853140831,0.8442857086658477,14_66,14_38
15,uci_wine_test/15/20251022-223832,nan,nan,0.8651685393258427,0.2696629213483146,0.7747191011235952,0.8606741573033707,15_36,15_45,0.8571428656578064,0.24761904776096344,0.7704761894047261,0.8495238125324249,15_47,15_45
16,uci_wine_test/16/20251022-223834,nan,nan,0.8707865168539326,0.2696629213483146,0.7800561797752806,0.8612359550561799,16_11,16_50,0.8619047403335571,0.24761904776096344,0.7749047656357289,0.8514285683631897,16_11,16_50
17,uci_wine_test/17/20251022-223836,nan,nan,0.8707865168539326,0.2696629213483146,0.768202247191011,0.8651685393258427,17_12,16_50,0.8619047403335571,0.24761904776096344,0.7639047566056252,0.8542856931686401,17_14,16_50
18,uci_wine_test/18/20251022-223838,nan,nan,0.8707865168539326,0.2696629213483146,0.7946629213483145,0.8691011235955056,18_78,16_50,0.8619047403335571,0.27142858505249023,0.7898095175623894,0.8604761779308319,18_78,16_50
19,uci_wine_test/19/20251022-223840,nan,nan,0.8707865168539326,0.2696629213483146,0.7948876404494379,0.8707865168539326,19_51,16_50,0.8619047403335571,0.27142858505249023,0.7907618951797485,0.8619047403335571,19_51,16_50
20,uci_wine_test/20/20251022-223842,nan,nan,0.8707865168539326,0.2696629213483146,0.7771910112359549,0.8707865168539326,20_69,16_50,0.8619047403335571,0.24761904776096344,0.7725237984955311,0.8619047403335571,20_82,16_50
21,uci_wine_test/21/20251022-223844,nan,nan,0.8707865168539326,0.33146067415730335,0.7925280898876403,0.8707865168539326,21_71,16_50,0.8619047403335571,0.3142857253551483,0.7894761776924133,0.8619047403335571,21_71,16_50
22,uci_wine_test/22/20251022-223846,nan,nan,0.8707865168539326,0.2696629213483146,0.7717415730337076,0.8707865168539326,22_98,16_50,0.8619047403335571,0.27142858505249023,0.7668571302294731,0.8619047403335571,22_98,16_50
23,uci_wine_test/23/20251022-223848,nan,nan,0.8707865168539326,0.33146067415730335,0.7773595505617976,0.8707865168539326,23_42,16_50,0.8619047403335571,0.3142857253551483,0.7738095113635063,0.8619047403335571,23_42,16_50
24,uci_wine_test/24/20251022-223850,nan,nan,0.8707865168539326,0.2696629213483146,0.7826404494382021,0.8707865168539326,24_58,16_50,0.8619047403335571,0.27142858505249023,0.7770952263474464,0.8619047403335571,24_58,16_50
25,uci_wine_test/25/20251022-223852,nan,nan,0.8764044943820225,0.2696629213483146,0.7852808988764043,0.8707865168539326,25_11,25_55,0.8714285492897034,0.24761904776096344,0.7779047498106957,0.8633333146572113,25_11,25_55
26,uci_wine_test/26/20251022-223855,nan,nan,0.8764044943820225,0.2696629213483146,0.8151685393258427,0.8741573033707866,26_44,25_55,0.8714285492897034,0.24761904776096344,0.807952366322279,0.8676190257072449,26_44,25_55
27,uci_wine_test/27/20251022-223857,nan,nan,0.8764044943820225,0.2696629213483146,0.763988764044944,0.8747191011235955,27_47,25_55,0.8761904835700989,0.24761904776096344,0.7596666578948498,0.8709523677825928,27_47,27_59
28,uci_wine_test/28/20251022-223900,nan,nan,0.8764044943820225,0.33146067415730335,0.7626966292134831,0.8752808988764045,28_33,27_14,0.8761904835700989,0.3142857253551483,0.7538095140457153,0.8723809361457825,28_33,27_59
29,uci_wine_test/29/20251022-223902,nan,nan,0.8764044943820225,0.33146067415730335,0.7665168539325845,0.8752808988764045,29_20,28_13,0.8761904835700989,0.3142857253551483,0.7630476099252701,0.8723809361457825,29_20,27_59
30,uci_wine_test/30/20251022-223904,nan,nan,0.8764044943820225,0.33146067415730335,0.7807865168539329,0.8752808988764045,30_14,28_26,0.8761904835700989,0.3142857253551483,0.7760952278971672,0.8723809361457825,30_14,27_59
31,uci_wine_test/31/20251022-223906,nan,nan,0.8764044943820225,0.2696629213483146,0.7763483146067419,0.8741573033707866,31_56,29_18,0.8761904835700989,0.24761904776096344,0.7728571318089962,0.8723809361457825,31_56,27_59
32,uci_wine_test/32/20251022-223909,nan,nan,0.8764044943820225,0.33146067415730335,0.7820224719101124,0.8713483146067416,32_56,30_33,0.8761904835700989,0.3142857253551483,0.7798571315407753,0.8747619032859802,32_80,27_59
33,uci_wine_test/33/20251022-223911,nan,nan,0.8764044943820225,0.33146067415730335,0.8126404494382021,0.8707865168539326,33_56,27_94,0.8761904835700989,0.3142857253551483,0.8146666648983956,0.8761904835700989,33_67,27_59
34,uci_wine_test/34/20251022-223914,nan,nan,0.8764044943820225,0.33146067415730335,0.7817977528089887,0.8707865168539326,34_28,34_40,0.8761904835700989,0.3142857253551483,0.78766666918993,0.8761904835700989,34_28,27_59
35,uci_wine_test/35/20251022-223916,nan,nan,0.8764044943820225,0.2696629213483146,0.7725280898876403,0.8707865168539326,35_64,35_25,0.8761904835700989,0.24761904776096344,0.7738095258176326,0.8761904835700989,35_64,27_59
36,uci_wine_test/36/20251022-223919,nan,nan,0.8764044943820225,0.33146067415730335,0.8096067415730335,0.8707865168539326,36_35,36_12,0.8761904835700989,0.3142857253551483,0.8118571436405182,0.8761904835700989,36_35,27_59
37,uci_wine_test/37/20251022-223921,nan,nan,0.8764044943820225,0.33146067415730335,0.8039887640449436,0.8713483146067416,37_23,37_17,0.8809523582458496,0.3142857253551483,0.8067142891883851,0.8766666710376739,37_23,37_18
38,uci_wine_test/38/20251022-223924,nan,nan,0.8764044943820225,0.33146067415730335,0.8097752808988763,0.8724719101123597,38_99,37_18,0.8809523582458496,0.3142857253551483,0.8144285717606544,0.8776190459728241,38_99,37_18
39,uci_wine_test/39/20251022-223926,nan,nan,0.8764044943820225,0.38202247191011235,0.8215168539325842,0.8752808988764045,39_55,37_18,0.8809523582458496,0.3571428656578064,0.825714281797409,0.8799999833106995,39_55,37_18
40,uci_wine_test/40/20251022-223929,nan,nan,0.8764044943820225,0.33146067415730335,0.8158988764044944,0.8764044943820226,40_12,37_18,0.8809523582458496,0.3142857253551483,0.8182380849123001,0.8809523582458496,40_12,37_18
