generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251013-035256,nan,nan,0.773286467486819,0.2583479789103691,0.5061335676625659,0.653602811950791,1_32,1_12,0.773286467486819,0.2583479789103691,0.5061335676625659,0.653602811950791,1_32,1_12
2,uci_cancer_test/2/20251013-035259,nan,nan,0.773286467486819,0.37082601054481545,0.606274165202109,0.7514938488576449,2_83,1_12,0.773286467486819,0.37082601054481545,0.606274165202109,0.7514938488576449,2_83,1_12
3,uci_cancer_test/3/20251013-035303,nan,nan,0.7978910369068541,0.37258347978910367,0.6409841827768014,0.7757469244288224,3_12,3_42,0.7978910369068541,0.37258347978910367,0.6409841827768014,0.7757469244288224,3_12,3_42
4,uci_cancer_test/4/20251013-035306,nan,nan,0.7978910369068541,0.281195079086116,0.6542706502636202,0.7782073813708259,4_45,3_42,0.7978910369068541,0.281195079086116,0.6542706502636202,0.7782073813708259,4_45,3_42
5,uci_cancer_test/5/20251013-035309,nan,nan,0.8383128295254832,0.37258347978910367,0.6917223198594021,0.7912126537785589,5_13,5_32,0.8383128295254832,0.37258347978910367,0.6917223198594021,0.7912126537785589,5_13,5_32
6,uci_cancer_test/6/20251013-035314,nan,nan,0.8383128295254832,0.37258347978910367,0.7195079086115992,0.8059753954305799,6_15,5_32,0.8383128295254832,0.37258347978910367,0.7195079086115992,0.8059753954305799,6_15,5_32
7,uci_cancer_test/7/20251013-035317,nan,nan,0.8383128295254832,0.37258347978910367,0.769068541300527,0.8263620386643232,7_14,5_32,0.8383128295254832,0.37258347978910367,0.769068541300527,0.8263620386643232,7_14,5_32
8,uci_cancer_test/8/20251013-035321,nan,nan,0.8400702987697716,0.37258347978910367,0.779226713532513,0.8386643233743409,8_13,8_53,0.8400702987697716,0.37258347978910367,0.779226713532513,0.8386643233743409,8_13,8_53
9,uci_cancer_test/9/20251013-035327,nan,nan,0.8400702987697716,0.37258347978910367,0.7678383128295253,0.8391915641476274,9_34,8_53,0.8400702987697716,0.37258347978910367,0.7678383128295253,0.8391915641476274,9_34,8_53
10,uci_cancer_test/10/20251013-035331,nan,nan,0.8506151142355008,0.37258347978910367,0.7669068541300527,0.8413005272407734,10_41,10_15,0.8506151142355008,0.37258347978910367,0.7669068541300527,0.8413005272407734,10_41,10_15
11,uci_cancer_test/11/20251013-035335,nan,nan,0.8506151142355008,0.6274165202108963,0.7959050966608084,0.8423550087873461,11_14,10_15,0.8506151142355008,0.6274165202108963,0.7959050966608084,0.8423550087873461,11_14,10_15
12,uci_cancer_test/12/20251013-035339,nan,nan,0.875219683655536,0.37258347978910367,0.7859050966608084,0.8485061511423551,12_22,12_37,0.875219683655536,0.37258347978910367,0.7859050966608084,0.8485061511423551,12_22,12_37
13,uci_cancer_test/13/20251013-035342,nan,nan,0.875219683655536,0.37258347978910367,0.7781019332161686,0.8543057996485061,13_28,12_37,0.875219683655536,0.37258347978910367,0.7781019332161686,0.8543057996485061,13_28,12_37
14,uci_cancer_test/14/20251013-035346,nan,nan,0.8875219683655536,0.37258347978910367,0.80311072056239,0.8681898066783832,14_17,14_46,0.8875219683655536,0.37258347978910367,0.80311072056239,0.8681898066783832,14_17,14_46
15,uci_cancer_test/15/20251013-035349,nan,nan,0.8892794376098418,0.37258347978910367,0.7921968365553602,0.8824253075571177,15_37,15_41,0.8892794376098418,0.37258347978910367,0.7921968365553602,0.8824253075571177,15_37,15_41
16,uci_cancer_test/16/20251013-035352,nan,nan,0.8892794376098418,0.37258347978910367,0.7932513181019333,0.8873462214411247,16_51,15_41,0.8892794376098418,0.37258347978910367,0.7932513181019333,0.8873462214411247,16_51,15_41
17,uci_cancer_test/17/20251013-035356,nan,nan,0.8892794376098418,0.37258347978910367,0.8137609841827768,0.8891036906854131,17_17,15_41,0.8892794376098418,0.37258347978910367,0.8137609841827768,0.8891036906854131,17_17,15_41
18,uci_cancer_test/18/20251013-035400,nan,nan,0.8927943760984183,0.37258347978910367,0.8059226713532515,0.8896309314586995,18_13,18_35,0.8927943760984183,0.37258347978910367,0.8059226713532515,0.8896309314586995,18_13,18_35
19,uci_cancer_test/19/20251013-035404,nan,nan,0.8927943760984183,0.37258347978910367,0.8216168717047452,0.8899824253075572,19_20,18_35,0.8927943760984183,0.37258347978910367,0.8216168717047452,0.8899824253075572,19_20,18_35
20,uci_cancer_test/20/20251013-035408,nan,nan,0.8927943760984183,0.37258347978910367,0.8180667838312832,0.8922671353251317,20_16,18_35,0.8927943760984183,0.37258347978910367,0.8180667838312832,0.8922671353251317,20_16,18_35
21,uci_cancer_test/21/20251013-035412,nan,nan,0.8927943760984183,0.37258347978910367,0.824622144112478,0.8927943760984183,21_37,18_35,0.8927943760984183,0.37258347978910367,0.824622144112478,0.8927943760984183,21_37,18_35
22,uci_cancer_test/22/20251013-035415,nan,nan,0.8927943760984183,0.37258347978910367,0.8204217926186295,0.8927943760984183,22_31,18_35,0.8927943760984183,0.37258347978910367,0.8204217926186295,0.8927943760984183,22_31,18_35
23,uci_cancer_test/23/20251013-035419,nan,nan,0.8927943760984183,0.37258347978910367,0.8172934973637962,0.8927943760984183,23_20,18_35,0.8927943760984183,0.37258347978910367,0.8172934973637962,0.8927943760984183,23_20,18_35
24,uci_cancer_test/24/20251013-035423,nan,nan,0.8927943760984183,0.37258347978910367,0.8420210896309315,0.8927943760984183,24_26,18_35,0.8927943760984183,0.37258347978910367,0.8420210896309315,0.8927943760984183,24_26,18_35
25,uci_cancer_test/25/20251013-035426,nan,nan,0.8927943760984183,0.37258347978910367,0.8544639718804923,0.8927943760984183,25_96,18_35,0.8927943760984183,0.37258347978910367,0.8544639718804923,0.8927943760984183,25_96,18_35
26,uci_cancer_test/26/20251013-035430,nan,nan,0.8927943760984183,0.37258347978910367,0.8015465729349737,0.8927943760984183,26_26,18_35,0.8927943760984183,0.37258347978910367,0.8015465729349737,0.8927943760984183,26_26,18_35
27,uci_cancer_test/27/20251013-035434,nan,nan,0.8927943760984183,0.36906854130052724,0.80390158172232,0.8927943760984183,27_47,18_35,0.8927943760984183,0.36906854130052724,0.80390158172232,0.8927943760984183,27_47,18_35
28,uci_cancer_test/28/20251013-035437,nan,nan,0.8927943760984183,0.37258347978910367,0.8488049209138842,0.8927943760984183,28_57,18_35,0.8927943760984183,0.37258347978910367,0.8488049209138842,0.8927943760984183,28_57,18_35
29,uci_cancer_test/29/20251013-035441,nan,nan,0.8963093145869947,0.37258347978910367,0.8476977152899825,0.893145869947276,29_23,29_86,0.8963093145869947,0.37258347978910367,0.8476977152899825,0.893145869947276,29_23,29_86
30,uci_cancer_test/30/20251013-035444,nan,nan,0.8963093145869947,0.37258347978910367,0.8276801405975397,0.8938488576449913,30_25,29_86,0.8963093145869947,0.37258347978910367,0.8276801405975397,0.8938488576449913,30_25,29_86
31,uci_cancer_test/31/20251013-035448,nan,nan,0.8963093145869947,0.37258347978910367,0.823321616871705,0.8954305799648505,31_19,29_86,0.8963093145869947,0.37258347978910367,0.823321616871705,0.8954305799648505,31_19,29_86
32,uci_cancer_test/32/20251013-035451,nan,nan,0.8963093145869947,0.37609841827768015,0.8344639718804922,0.8963093145869948,32_22,29_86,0.8963093145869947,0.37609841827768015,0.8344639718804922,0.8963093145869948,32_22,29_86
33,uci_cancer_test/33/20251013-035455,nan,nan,0.8980667838312829,0.37609841827768015,0.8517398945518457,0.8964850615114235,33_21,33_42,0.8980667838312829,0.37609841827768015,0.8517398945518457,0.8964850615114235,33_21,33_42
34,uci_cancer_test/34/20251013-035500,nan,nan,0.8980667838312829,0.37609841827768015,0.8417574692442885,0.8975395430579965,34_19,33_42,0.8980667838312829,0.37609841827768015,0.8417574692442885,0.8975395430579965,34_19,33_42
35,uci_cancer_test/35/20251013-035504,nan,nan,0.8998242530755711,0.37609841827768015,0.8469068541300527,0.8982425307557118,35_19,35_85,0.8998242530755711,0.37609841827768015,0.8469068541300527,0.8982425307557118,35_19,35_85
36,uci_cancer_test/36/20251013-035509,nan,nan,0.8998242530755711,0.37609841827768015,0.8699121265377855,0.8992970123022846,36_64,35_85,0.8998242530755711,0.37609841827768015,0.8699121265377855,0.8992970123022846,36_64,35_85
37,uci_cancer_test/37/20251013-035514,nan,nan,0.9015817223198594,0.37609841827768015,0.8408963093145868,0.9,37_37,37_76,0.9015817223198594,0.37609841827768015,0.8408963093145868,0.9,37_37,37_76
38,uci_cancer_test/38/20251013-035518,nan,nan,0.9015817223198594,0.37609841827768015,0.8535852372583479,0.9008787346221441,38_21,37_76,0.9015817223198594,0.37609841827768015,0.8535852372583479,0.9008787346221441,38_21,37_76
39,uci_cancer_test/39/20251013-035523,nan,nan,0.9015817223198594,0.37609841827768015,0.8290158172231987,0.9015817223198594,39_41,37_76,0.9015817223198594,0.37609841827768015,0.8290158172231987,0.9015817223198594,39_41,37_76
40,uci_cancer_test/40/20251013-035528,nan,nan,0.9033391915641477,0.37258347978910367,0.830175746924429,0.9017574692442883,40_87,40_96,0.9033391915641477,0.37258347978910367,0.830175746924429,0.9017574692442883,40_87,40_96
41,uci_cancer_test/41/20251013-035533,nan,nan,0.9033391915641477,0.37258347978910367,0.8308787346221442,0.9019332161687172,41_12,40_96,0.9033391915641477,0.37258347978910367,0.8308787346221442,0.9019332161687172,41_12,40_96
42,uci_cancer_test/42/20251013-035538,nan,nan,0.9033391915641477,0.37434094903339193,0.838664323374341,0.903163444639719,42_40,40_96,0.9033391915641477,0.37434094903339193,0.838664323374341,0.903163444639719,42_40,40_96
43,uci_cancer_test/43/20251013-035542,nan,nan,0.9033391915641477,0.37434094903339193,0.8426010544815464,0.9033391915641478,43_54,40_96,0.9033391915641477,0.37434094903339193,0.8426010544815464,0.9033391915641478,43_54,40_96
44,uci_cancer_test/44/20251013-035547,nan,nan,0.9033391915641477,0.37434094903339193,0.8256766256590511,0.9033391915641478,44_14,40_96,0.9033391915641477,0.37434094903339193,0.8256766256590511,0.9033391915641478,44_14,40_96
45,uci_cancer_test/45/20251013-035551,nan,nan,0.9121265377855887,0.37434094903339193,0.8445518453427066,0.9042179261862919,45_41,45_11,0.9121265377855887,0.37434094903339193,0.8445518453427066,0.9042179261862919,45_41,45_11
46,uci_cancer_test/46/20251013-035555,nan,nan,0.9121265377855887,0.37434094903339193,0.8572231985940246,0.9059753954305801,46_91,45_11,0.9121265377855887,0.37434094903339193,0.8572231985940246,0.9059753954305801,46_91,45_11
47,uci_cancer_test/47/20251013-035600,nan,nan,0.9121265377855887,0.37434094903339193,0.8421616871704747,0.9103690685413005,47_20,45_11,0.9121265377855887,0.37434094903339193,0.8421616871704747,0.9103690685413005,47_20,45_11
48,uci_cancer_test/48/20251013-035605,nan,nan,0.9121265377855887,0.39718804920913886,0.8449033391915641,0.9121265377855888,48_19,45_11,0.9121265377855887,0.39718804920913886,0.8449033391915641,0.9121265377855888,48_19,45_11
49,uci_cancer_test/49/20251013-035610,nan,nan,0.9244288224956063,0.39718804920913886,0.8598066783831284,0.9133567662565906,49_35,49_62,0.9244288224956063,0.39718804920913886,0.8598066783831284,0.9133567662565906,49_35,49_62
50,uci_cancer_test/50/20251013-035615,nan,nan,0.9244288224956063,0.38312829525483305,0.8433040421792619,0.9145869947275923,50_23,49_62,0.9244288224956063,0.38312829525483305,0.8433040421792619,0.9145869947275923,50_23,49_62
51,uci_cancer_test/51/20251013-035620,nan,nan,0.9244288224956063,0.39718804920913886,0.8370826010544813,0.9159929701230229,51_22,49_62,0.9244288224956063,0.39718804920913886,0.8370826010544813,0.9159929701230229,51_22,49_62
52,uci_cancer_test/52/20251013-035624,nan,nan,0.9244288224956063,0.39718804920913886,0.883567662565905,0.9205623901581724,52_11,49_62,0.9244288224956063,0.39718804920913886,0.883567662565905,0.9205623901581724,52_11,49_62
53,uci_cancer_test/53/20251013-035630,nan,nan,0.9244288224956063,0.39718804920913886,0.8572583479789105,0.9244288224956063,53_50,49_62,0.9244288224956063,0.39718804920913886,0.8572583479789105,0.9244288224956063,53_50,49_62
54,uci_cancer_test/54/20251013-035634,nan,nan,0.9244288224956063,0.37785588752196836,0.8516871704745165,0.9244288224956063,54_32,49_62,0.9244288224956063,0.37785588752196836,0.8516871704745165,0.9244288224956063,54_32,49_62
