generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251008-234351,nan,nan,0.7978910369068541,0.14586994727592267,0.5021265377855887,0.6678383128295255,1_57,1_5,0.7926186323165894,0.14762741327285767,0.5019859400391579,0.6653778553009033,1_57,1_5
2,uci_cancer_test/2/20251008-234353,nan,nan,0.7978910369068541,0.0843585237258348,0.5924253075571179,0.7026362038664324,2_91,1_5,0.7926186323165894,0.0861159935593605,0.5910896299034357,0.6994727611541748,2_91,1_5
3,uci_cancer_test/3/20251008-234357,nan,nan,0.8646748681898067,0.37258347978910367,0.6121968365553603,0.7912126537785589,3_13,3_80,0.8594024777412415,0.3743409514427185,0.6105799669027329,0.7873462319374085,3_13,3_80
4,uci_cancer_test/4/20251008-234400,nan,nan,0.8646748681898067,0.37258347978910367,0.6620913884007029,0.8506151142355008,4_12,3_80,0.8594024777412415,0.3743409514427185,0.6600878769159317,0.846748685836792,4_12,3_80
5,uci_cancer_test/5/20251008-234403,nan,nan,0.8734622144112478,0.37082601054481545,0.7402811950790863,0.8667838312829526,5_30,5_55,0.868189811706543,0.3743409514427185,0.7377152922749519,0.8629173994064331,5_6,5_55
6,uci_cancer_test/6/20251008-234406,nan,nan,0.8734622144112478,0.37258347978910367,0.7232688927943759,0.8720562390158172,6_11,5_55,0.868189811706543,0.3743409514427185,0.720562392771244,0.8667838335037231,6_11,5_55
7,uci_cancer_test/7/20251008-234409,nan,nan,0.8857644991212654,0.37258347978910367,0.7214411247803163,0.8717047451669597,7_11,7_100,0.880492091178894,0.3743409514427185,0.7190158185362816,0.8685413002967834,7_11,7_100
8,uci_cancer_test/8/20251008-234412,nan,nan,0.8892794376098418,0.37258347978910367,0.7560808435852371,0.8794376098418277,8_18,8_93,0.8840070366859436,0.3743409514427185,0.7531634452939033,0.8755711793899537,8_18,8_93
9,uci_cancer_test/9/20251008-234416,nan,nan,0.8927943760984183,0.37258347978910367,0.7836379613356766,0.8843585237258349,9_6,9_11,0.8875219821929932,0.3743409514427185,0.7807205626368523,0.8797891020774842,9_6,9_11
10,uci_cancer_test/10/20251008-234419,nan,nan,0.8963093145869947,0.37258347978910367,0.7835676625659049,0.8896309314586993,10_14,10_96,0.8910369277000427,0.3743409514427185,0.7797363811731338,0.8843585252761841,10_14,10_96
11,uci_cancer_test/11/20251008-234423,nan,nan,0.8963093145869947,0.37258347978910367,0.80804920913884,0.892091388400703,11_10,10_96,0.8910369277000427,0.3743409514427185,0.8041124820709229,0.8875219702720643,11_10,10_96
12,uci_cancer_test/12/20251008-234426,nan,nan,0.8963093145869947,0.37258347978910367,0.7519683655536029,0.8952548330404217,12_9,10_96,0.8910369277000427,0.3743409514427185,0.7491212713718415,0.8906854271888733,12_9,10_96
13,uci_cancer_test/13/20251008-234430,nan,nan,0.8963093145869947,0.37258347978910367,0.7846572934973639,0.8963093145869948,13_12,10_96,0.8910369277000427,0.3743409514427185,0.7809314703941346,0.8910369277000427,13_12,10_96
14,uci_cancer_test/14/20251008-234434,nan,nan,0.8980667838312829,0.37258347978910367,0.7724604569420037,0.8966608084358523,14_6,14_25,0.8927943706512451,0.3743409514427185,0.7689455303549767,0.8913884162902832,14_6,14_25
15,uci_cancer_test/15/20251008-234438,nan,nan,0.8980667838312829,0.37258347978910367,0.7949736379613358,0.8970123022847101,15_6,14_25,0.8927943706512451,0.3743409514427185,0.7911423653364181,0.8917399048805237,15_6,14_25
16,uci_cancer_test/16/20251008-234442,nan,nan,0.8998242530755711,0.37258347978910367,0.790773286467487,0.89701230228471,16_12,16_43,0.8927943706512451,0.3743409514427185,0.7869068670272827,0.8917399048805237,16_12,14_25
17,uci_cancer_test/17/20251008-234446,nan,nan,0.9050966608084359,0.37258347978910367,0.8017750439367312,0.8987697715289983,17_23,17_96,0.8998242616653442,0.3743409514427185,0.7979437702894211,0.893497371673584,17_23,17_96
18,uci_cancer_test/18/20251008-234451,nan,nan,0.9050966608084359,0.37082601054481545,0.7955008787346222,0.9022847100175747,18_69,17_96,0.8998242616653442,0.3725834786891937,0.791634455025196,0.8970122933387756,18_69,17_96
19,uci_cancer_test/19/20251008-234455,nan,nan,0.9103690685413005,0.37082601054481545,0.806115992970123,0.9054481546572933,19_43,19_50,0.9050966501235962,0.3725834786891937,0.8022847113013267,0.9001757383346558,19_43,19_50
20,uci_cancer_test/20/20251008-234459,nan,nan,0.9121265377855887,0.37258347978910367,0.7913532513181019,0.9093145869947274,20_13,20_25,0.9068541526794434,0.3743409514427185,0.7877328652143478,0.9040421843528748,20_13,20_25
21,uci_cancer_test/21/20251008-234503,nan,nan,0.9121265377855887,0.37258347978910367,0.7805975395430579,0.90896309314587,21_19,20_25,0.9068541526794434,0.3743409514427185,0.7771880513429642,0.9036906957626343,21_19,20_25
22,uci_cancer_test/22/20251008-234507,nan,nan,0.9138840070298769,0.37258347978910367,0.7658523725834796,0.9121265377855886,22_7,22_9,0.9086115956306458,0.3743409514427185,0.762794377207756,0.9075571298599243,22_7,22_9
23,uci_cancer_test/23/20251008-234511,nan,nan,0.9156414762741653,0.37258347978910367,0.8063796133567661,0.912829525483304,23_13,23_32,0.9086115956306458,0.3743409514427185,0.8026889330148697,0.9075571298599243,23_13,22_9
24,uci_cancer_test/24/20251008-234515,nan,nan,0.9156414762741653,0.37258347978910367,0.7942179261862914,0.9138840070298769,24_6,23_32,0.9086115956306458,0.3743409514427185,0.7905623930692672,0.9086115956306458,24_6,22_9
25,uci_cancer_test/25/20251008-234518,nan,nan,0.9156414762741653,0.37258347978910367,0.8111247803163444,0.9142355008787346,25_7,25_73,0.9103690981864929,0.3743409514427185,0.8073989483714104,0.9089630961418151,25_7,25_73
26,uci_cancer_test/26/20251008-234523,nan,nan,0.9209138840070299,0.37258347978910367,0.8240597539543056,0.9156414762741651,26_11,26_56,0.9156414866447449,0.3743409514427185,0.8200527247786522,0.910369074344635,26_11,26_56
27,uci_cancer_test/27/20251008-234527,nan,nan,0.9209138840070299,0.37258347978910367,0.8539894551845343,0.9170474516695958,27_7,26_56,0.9156414866447449,0.3743409514427185,0.8497363820672035,0.9117750525474548,27_7,26_56
28,uci_cancer_test/28/20251008-234532,nan,nan,0.9209138840070299,0.37258347978910367,0.8463444639718802,0.9166959578207381,28_16,26_56,0.9156414866447449,0.3743409514427185,0.841880493760109,0.9114235520362854,28_16,26_56
29,uci_cancer_test/29/20251008-234537,nan,nan,0.9226713532513181,0.37258347978910367,0.8363093145869946,0.9173989455184535,29_6,29_35,0.9173989295959473,0.3743409514427185,0.8322671410441399,0.9128295302391052,29_6,29_35
30,uci_cancer_test/30/20251008-234541,nan,nan,0.9226713532513181,0.37258347978910367,0.8059226713532514,0.9216168717047453,30_11,29_35,0.9209138751029968,0.3743409514427185,0.8026186344027519,0.9170474529266357,30_11,30_95
31,uci_cancer_test/31/20251008-234546,nan,nan,0.9261862917398945,0.37258347978910367,0.7694727592267135,0.9219683655536027,31_21,31_70,0.9209138751029968,0.3743409514427185,0.7664850655198098,0.9188049077987671,31_21,30_95
32,uci_cancer_test/32/20251008-234550,nan,nan,0.9279437609841827,0.37258347978910367,0.8172934973637959,0.9254833040421794,32_9,32_87,0.9244288206100464,0.3743409514427185,0.8140949016809463,0.9209138870239257,32_9,32_16
33,uci_cancer_test/33/20251008-234555,nan,nan,0.9279437609841827,0.37258347978910367,0.796994727592267,0.9272407732864675,33_8,33_7,0.9244288206100464,0.3743409514427185,0.79478031873703,0.923374354839325,33_8,32_16
34,uci_cancer_test/34/20251008-234600,nan,nan,0.9314586994727593,0.37258347978910367,0.802530755711775,0.9289982425307557,34_16,34_15,0.9261862635612488,0.3743409514427185,0.7999297067523002,0.9244288206100464,34_16,34_15
35,uci_cancer_test/35/20251008-234605,nan,nan,0.9314586994727593,0.37258347978910367,0.8235676625659052,0.929701230228471,35_6,34_15,0.9261862635612488,0.3743409514427185,0.8214235478639602,0.9258347749710083,35_6,34_15
36,uci_cancer_test/36/20251008-234610,nan,nan,0.9332161687170475,0.37258347978910367,0.8000351493848856,0.931810193321617,36_29,36_70,0.927943766117096,0.3743409514427185,0.7971528866887092,0.9265377640724182,36_29,36_70
