generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251008-204517,nan,nan,0.8066783547401428,0.35852372646331787,0.5105096659064293,0.6400702953338623,1_25,1_94
2,uci_cancer_test/2/20251008-204520,nan,nan,0.8066783547401428,0.3075571060180664,0.6234797868132591,0.6916520208120346,2_48,1_94
3,uci_cancer_test/3/20251008-204524,nan,nan,0.8611599206924438,0.3479789197444916,0.6590509656071663,0.7494727611541748,3_33,3_81
4,uci_cancer_test/4/20251008-204527,nan,nan,0.8769771456718445,0.3479789197444916,0.7259402433037758,0.8188049048185349,4_65,4_67
5,uci_cancer_test/5/20251008-204530,nan,nan,0.8769771456718445,0.3743409514427185,0.7522319766879082,0.8536028087139129,5_25,4_67
6,uci_cancer_test/6/20251008-204532,nan,nan,0.8945518732070923,0.3743409514427185,0.7820738118886947,0.8797012299299241,6_21,6_25
7,uci_cancer_test/7/20251008-204536,nan,nan,0.9156414866447449,0.3743409514427185,0.8085588750243187,0.8840949088335037,7_22,7_84
8,uci_cancer_test/8/20251008-204539,nan,nan,0.9156414866447449,0.3743409514427185,0.822003519833088,0.8977153033018113,8_34,7_84
9,uci_cancer_test/9/20251008-204542,nan,nan,0.9209138751029968,0.3743409514427185,0.8659929794073105,0.9150263637304306,9_63,9_61
10,uci_cancer_test/10/20251008-204545,nan,nan,0.9209138751029968,0.3743409514427185,0.8614411273598671,0.9176625698804856,10_39,9_61
11,uci_cancer_test/11/20251008-204548,nan,nan,0.9209138751029968,0.3743409514427185,0.8528998264670372,0.9209138751029968,11_51,9_61
12,uci_cancer_test/12/20251008-204552,nan,nan,0.9244288206100464,0.3743409514427185,0.8688752126693725,0.921265372633934,12_32,12_78
13,uci_cancer_test/13/20251008-204555,nan,nan,0.9244288206100464,0.3743409514427185,0.8577328634262085,0.9226713657379151,13_37,12_78
14,uci_cancer_test/14/20251008-204559,nan,nan,0.9261862635612488,0.3743409514427185,0.8763796195387841,0.9247803092002869,14_32,14_28
15,uci_cancer_test/15/20251008-204603,nan,nan,0.927943766117096,0.3743409514427185,0.8786467427015304,0.9255711615085602,15_40,15_26
16,uci_cancer_test/16/20251008-204606,nan,nan,0.927943766117096,0.3743409514427185,0.8954305708408355,0.9266256392002106,16_22,15_26
17,uci_cancer_test/17/20251008-204610,nan,nan,0.9297012090682983,0.3743409514427185,0.9049560540914535,0.927328634262085,17_48,17_25
18,uci_cancer_test/18/20251008-204615,nan,nan,0.9314587116241455,0.3725834786891937,0.8846221378445626,0.9289103627204895,18_35,18_53
19,uci_cancer_test/19/20251008-204619,nan,nan,0.9332161545753479,0.3743409514427185,0.8947627377510071,0.9300527065992356,19_73,19_87
20,uci_cancer_test/20/20251008-204623,nan,nan,0.9332161545753479,0.3743409514427185,0.8791388311982155,0.9309314519166947,20_28,19_87
21,uci_cancer_test/21/20251008-204627,nan,nan,0.9349736571311951,0.3743409514427185,0.8701581692695618,0.9324253082275391,21_41,21_68
22,uci_cancer_test/22/20251008-204631,nan,nan,0.940246045589447,0.3743409514427185,0.8795079070329667,0.9339191496372223,22_35,22_86
