generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251012-220357,nan,nan,0.6292134831460674,0.0898876404494382,0.33112359550561793,0.496629213483146,1_8,1_98,0.6292134831460674,0.0898876404494382,0.33112359550561793,0.496629213483146,1_8,1_98
2,uci_wine_test/2/20251012-220358,nan,nan,0.7415730337078652,0.19101123595505617,0.4487078651685393,0.5741573033707865,2_70,2_53,0.7415730337078652,0.19101123595505617,0.4487078651685393,0.5741573033707865,2_70,2_53
3,uci_wine_test/3/20251012-220400,nan,nan,0.7752808988764045,0.2696629213483146,0.5290449438202247,0.7073033707865168,3_11,3_22,0.7752808988764045,0.2696629213483146,0.5290449438202247,0.7073033707865168,3_11,3_22
4,uci_wine_test/4/20251012-220401,nan,nan,0.8426966292134831,0.2696629213483146,0.6222471910112359,0.747752808988764,4_16,4_40,0.8426966292134831,0.2696629213483146,0.6222471910112359,0.747752808988764,4_16,4_40
5,uci_wine_test/5/20251012-220402,nan,nan,0.8595505617977528,0.3539325842696629,0.671123595505618,0.7848314606741574,5_20,5_44,0.8595505617977528,0.3539325842696629,0.671123595505618,0.7848314606741574,5_20,5_44
6,uci_wine_test/6/20251012-220403,nan,nan,0.8595505617977528,0.398876404494382,0.727696629213483,0.8376404494382023,6_71,5_44,0.8595505617977528,0.398876404494382,0.727696629213483,0.8376404494382023,6_71,5_44
7,uci_wine_test/7/20251012-220404,nan,nan,0.8595505617977528,0.2696629213483146,0.740561797752809,0.8466292134831459,7_20,5_44,0.8595505617977528,0.2696629213483146,0.740561797752809,0.8466292134831459,7_20,5_44
8,uci_wine_test/8/20251012-220405,nan,nan,0.8651685393258427,0.3595505617977528,0.7548314606741573,0.8528089887640448,8_95,8_22,0.8651685393258427,0.3595505617977528,0.7548314606741573,0.8528089887640448,8_95,8_22
9,uci_wine_test/9/20251012-220406,nan,nan,0.8764044943820225,0.398876404494382,0.7619662921348315,0.8539325842696629,9_21,9_49,0.8764044943820225,0.398876404494382,0.7619662921348315,0.8539325842696629,9_21,9_49
10,uci_wine_test/10/20251012-220407,nan,nan,0.8764044943820225,0.2696629213483146,0.7314044943820223,0.8578651685393257,10_21,9_49,0.8764044943820225,0.2696629213483146,0.7314044943820223,0.8578651685393257,10_21,9_49
