generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251012-213821,nan,nan,0.46629213483146065,0.03932584269662921,0.3339325842696628,0.4117977528089888,1_54,1_31,0.45505619049072266,0.03932584449648857,0.33314606595784424,0.4016853928565979,1_54,1_31
2,uci_wine_test/2/20251012-213823,nan,nan,0.5898876404494382,0.16292134831460675,0.3909550561797752,0.43988764044943823,2_29,2_69,0.5786516666412354,0.16853933036327362,0.3838202254474163,0.4348314583301544,2_29,2_69
3,uci_wine_test/3/20251012-213824,nan,nan,0.5898876404494382,0.2696629213483146,0.4217415730337079,0.5292134831460673,3_26,2_69,0.5786516666412354,0.28651684522628784,0.41438202679157254,0.5224719047546387,3_26,2_69
4,uci_wine_test/4/20251012-213826,nan,nan,0.6573033707865169,0.2696629213483146,0.49280898876404505,0.6089887640449438,4_59,4_85,0.6460674405097961,0.28651684522628784,0.4853932562470436,0.5988763988018035,4_59,4_85
5,uci_wine_test/5/20251012-213827,nan,nan,0.8033707865168539,0.2696629213483146,0.5568539325842697,0.6556179775280899,5_57,5_16,0.7977527976036072,0.28651684522628784,0.5468539276719093,0.6460674107074738,5_57,5_16
6,uci_wine_test/6/20251012-213828,nan,nan,0.8089887640449438,0.33146067415730335,0.6137640449438203,0.7162921348314607,6_22,6_25,0.8033707737922668,0.3258427083492279,0.605,0.7056179881095886,6_22,6_25
7,uci_wine_test/7/20251012-213830,nan,nan,0.8426966292134831,0.33146067415730335,0.6541011235955057,0.7752808988764045,7_82,7_26,0.8370786309242249,0.3258427083492279,0.6441011252999306,0.7651685357093811,7_82,7_26
8,uci_wine_test/8/20251012-213831,nan,nan,0.8426966292134831,0.33146067415730335,0.6980337078651684,0.8117977528089888,8_16,7_26,0.8370786309242249,0.3258427083492279,0.689101113975048,0.8095505475997925,8_16,7_26
9,uci_wine_test/9/20251012-213832,nan,nan,0.8651685393258427,0.2696629213483146,0.7106741573033709,0.8151685393258428,9_80,9_62,0.8651685118675232,0.28651684522628784,0.707921336889267,0.8207864999771118,9_80,9_62
10,uci_wine_test/10/20251012-213833,nan,nan,0.8651685393258427,0.2696629213483146,0.6916853932584267,0.8544943820224719,10_13,9_62,0.8651685118675232,0.28651684522628784,0.6955056050419808,0.8544943571090698,10_13,9_62
11,uci_wine_test/11/20251012-213835,nan,nan,0.8651685393258427,0.2696629213483146,0.7119101123595505,0.8601123595505618,11_17,9_62,0.8651685118675232,0.28651684522628784,0.7139887458086014,0.8606741309165955,11_17,9_62
12,uci_wine_test/12/20251012-213836,nan,nan,0.898876404494382,0.2696629213483146,0.7344943820224717,0.8685393258426967,12_19,12_25,0.8876404762268066,0.28651684522628784,0.7355056017637253,0.8674157083034515,12_19,12_25
13,uci_wine_test/13/20251012-213837,nan,nan,0.898876404494382,0.2696629213483146,0.7730337078651683,0.8719101123595505,13_41,12_25,0.8876404762268066,0.28651684522628784,0.7737640258669853,0.8696629047393799,13_41,12_25
14,uci_wine_test/14/20251012-213839,nan,nan,0.898876404494382,0.2696629213483146,0.7091011235955057,0.8758426966292134,14_12,12_25,0.8876404762268066,0.28651684522628784,0.7100561690330506,0.8713483035564422,14_12,12_25
15,uci_wine_test/15/20251012-213840,nan,nan,0.898876404494382,0.2696629213483146,0.762640449438202,0.8932584269662922,15_20,12_25,0.8876404762268066,0.28651684522628784,0.7612359410524369,0.8831460833549499,15_20,12_25
16,uci_wine_test/16/20251012-213841,nan,nan,0.898876404494382,0.2696629213483146,0.7781460674157303,0.8988764044943821,16_18,12_25,0.8876404762268066,0.28651684522628784,0.7717977553606034,0.8876404762268066,16_18,12_25
17,uci_wine_test/17/20251012-213843,nan,nan,0.9101123595505618,0.2696629213483146,0.7552247191011238,0.9,17_22,17_53,0.9101123809814453,0.28651684522628784,0.748426975607872,0.8898876667022705,17_22,17_53
18,uci_wine_test/18/20251012-213844,nan,nan,0.9101123595505618,0.2696629213483146,0.7353370786516852,0.901685393258427,18_11,17_53,0.9101123809814453,0.28651684522628784,0.7301123696565628,0.8932584524154663,18_11,17_53
19,uci_wine_test/19/20251012-213845,nan,nan,0.9101123595505618,0.2696629213483146,0.7947752808988766,0.9061797752808989,19_17,17_53,0.9101123809814453,0.28651684522628784,0.7891011330485344,0.9028090119361878,19_17,17_53
20,uci_wine_test/20/20251012-213847,nan,nan,0.9101123595505618,0.2696629213483146,0.7660674157303372,0.9101123595505618,20_21,17_53,0.9101123809814453,0.28651684522628784,0.7679213556647301,0.9101123809814453,20_21,17_53
21,uci_wine_test/21/20251012-213848,nan,nan,0.9101123595505618,0.2696629213483146,0.8078089887640449,0.9101123595505618,21_22,17_53,0.9101123809814453,0.28651684522628784,0.8093820318579674,0.9101123809814453,21_22,17_53
22,uci_wine_test/22/20251012-213849,nan,nan,0.9101123595505618,0.2696629213483146,0.7645505617977528,0.9101123595505618,22_16,17_53,0.9101123809814453,0.28651684522628784,0.7682022523880004,0.9101123809814453,22_16,17_53
23,uci_wine_test/23/20251012-213851,nan,nan,0.9101123595505618,0.2696629213483146,0.8136516853932584,0.9101123595505618,23_18,17_53,0.9101123809814453,0.28651684522628784,0.816067425608635,0.9101123809814453,23_18,17_53
24,uci_wine_test/24/20251012-213852,nan,nan,0.9101123595505618,0.2696629213483146,0.8230337078651686,0.9101123595505618,24_16,17_53,0.9101123809814453,0.28651684522628784,0.823932598233223,0.9101123809814453,24_16,17_53
