generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_wine_test/1/20251022-232322,nan,nan,0.5955056179775281,0.0449438202247191,0.3448876404494382,0.48764044943820223,1_7,1_100,0.6041666865348816,0.0677083358168602,0.344427090883255,0.484375,1_7,1_33
2,uci_wine_test/2/20251022-232325,nan,nan,0.7191011235955056,0.05056179775280899,0.45286516853932596,0.5769662921348313,2_65,2_34,0.7239583134651184,0.0572916679084301,0.4546875023469329,0.5776041626930237,2_65,2_34
3,uci_wine_test/3/20251022-232330,nan,nan,0.7696629213483146,0.2696629213483146,0.5356179775280898,0.648314606741573,3_23,3_12,0.7708333134651184,0.2708333432674408,0.5333333307504654,0.6499999940395356,3_23,3_12
4,uci_wine_test/4/20251022-232334,nan,nan,0.7696629213483146,0.2696629213483146,0.6021348314606741,0.7168539325842695,4_52,3_12,0.7708333134651184,0.2708333432674408,0.6079166692495346,0.7177083194255829,4_52,3_12
5,uci_wine_test/5/20251022-232337,nan,nan,0.7752808988764045,0.2696629213483146,0.6782584269662919,0.7567415730337078,5_29,5_16,0.7760416865348816,0.2708333432674408,0.6802083232998848,0.7588541626930236,5_29,5_16
6,uci_wine_test/6/20251022-232340,nan,nan,0.7865168539325843,0.2696629213483146,0.7097191011235955,0.7719101123595505,6_85,6_22,0.7916666865348816,0.2708333432674408,0.7114583247900009,0.7734374880790711,6_85,6_22
7,uci_wine_test/7/20251022-232343,nan,nan,0.7865168539325843,0.2696629213483146,0.714494382022472,0.7758426966292136,7_25,6_22,0.7916666865348816,0.2708333432674408,0.7167708244919777,0.7781250059604645,7_25,6_22
8,uci_wine_test/8/20251022-232346,nan,nan,0.8089887640449438,0.2696629213483146,0.6976404494382022,0.7853932584269663,8_29,8_44,0.8229166865348816,0.2708333432674408,0.699687502682209,0.7921875059604645,8_29,8_44
9,uci_wine_test/9/20251022-232349,nan,nan,0.8089887640449438,0.2696629213483146,0.7333707865168538,0.7921348314606742,9_19,8_44,0.8229166865348816,0.2708333432674408,0.7391145905852318,0.7994791805744171,9_19,8_44
10,uci_wine_test/10/20251022-232352,nan,nan,0.8314606741573034,0.398876404494382,0.7547752808988765,0.8089887640449438,10_50,10_22,0.8229166865348816,0.4114583432674408,0.7617708423733711,0.8229166865348816,10_50,8_44
